,SalePrice
0,127381.45695364238
1,147471.84210526315
2,191516.25
3,214298.53658536586
4,219707.25806451612
5,183189.19672131148
6,149698.09663865546
7,161084.5447368421
8,209992.5357142857
9,128807.51445086705
10,234789.4807017544
11,128807.51445086705
12,123306.73964497041
13,161287.753894081
14,134786.06545454546
15,417903.35855855857
16,258046.14049586776
17,329792.8245614035
18,290120.86024096387
19,524929.9636363636
20,295140.67711598746
21,233969.6798561151
22,159399.92058823528
23,193516.2
24,206566.65460526315
25,222975.74631268438
26,279736.54411764705
27,245314.10416666666
28,206566.65460526315
29,234789.4807017544
30,219580.92333333334
31,127381.45695364238
32,168520.38157894736
33,268420.96875
34,305028.6918238994
35,256210.1884057971
36,217727.82165605095
37,203595.07692307694
38,203595.07692307694
39,161772.72727272726
40,213991.7331378299
41,203595.07692307694
42,305028.6918238994
43,242817.03829787235
44,234789.4807017544
45,204000.26315789475
46,246755.60784313726
47,191516.25
48,157233.36956521738
49,136452.77325581395
50,146230.98870056498
51,204000.26315789475
52,157094.54857142858
53,159399.92058823528
54,217727.82165605095
55,159399.92058823528
56,149133.35483870967
57,156752.42105263157
58,246755.60784313726
59,129914.5401459854
60,129914.5401459854
61,161772.72727272726
62,127381.45695364238
63,128221.11961722487
64,127381.45695364238
65,128807.51445086705
66,131334.01315789475
67,131334.01315789475
68,138155.31914893616
69,146230.98870056498
70,146230.98870056498
71,127381.45695364238
72,144774.9843137255
73,138155.31914893616
74,159399.92058823528
75,127381.45695364238
76,128807.51445086705
77,207511.39705882352
78,228660.66211604094
79,157233.36956521738
80,157094.54857142858
81,146230.98870056498
82,230731.2012987013
83,123306.73964497041
84,129914.5401459854
85,143313.3071672355
86,146230.98870056498
87,142446.6028708134
88,129914.5401459854
89,146256.41975308643
90,129914.5401459854
91,161287.753894081
92,185216.70833333334
93,131334.01315789475
94,157233.36956521738
95,129914.5401459854
96,131106.02433090025
97,128807.51445086705
98,144497.03636363638
99,148051.8275862069
100,161084.5447368421
101,131334.01315789475
102,127381.45695364238
103,148465.5172413793
104,149698.09663865546
105,234789.4807017544
106,128807.51445086705
107,242817.03829787235
108,149779.57507082153
109,146230.98870056498
110,143936.66666666666
111,131334.01315789475
112,268420.96875
113,138155.31914893616
114,255042.92307692306
115,230731.2012987013
116,214298.53658536586
117,159399.92058823528
118,147471.84210526315
119,207293.79428571428
120,136452.77325581395
121,129914.5401459854
122,354670.1683168317
123,237583.99708454811
124,161084.5447368421
125,127381.45695364238
126,123306.73964497041
127,129914.5401459854
128,131452.83185840707
129,128807.51445086705
130,123306.73964497041
131,131452.83185840707
132,138155.31914893616
133,183189.19672131148
134,146230.98870056498
135,228589.45112781954
136,206566.65460526315
137,217727.82165605095
138,233969.6798561151
139,233969.6798561151
140,121902.05035971223
141,131106.02433090025
142,123306.73964497041
143,295404.61666666664
144,257106.76623376625
145,148899.08633093524
146,209009.54117647058
147,230440.66210045663
148,206566.65460526315
149,150379.3407572383
150,144774.9843137255
151,161287.753894081
152,148899.08633093524
153,128807.51445086705
154,127381.45695364238
155,121902.05035971223
156,121902.05035971223
157,128221.11961722487
158,144774.9843137255
159,222366.84745762713
160,146230.98870056498
161,142446.6028708134
162,279815.3215339233
163,230731.2012987013
164,131334.01315789475
165,161287.753894081
166,191516.25
167,269915.4767441861
168,209992.5357142857
169,343392.41964285716
170,222975.74631268438
171,242817.03829787235
172,184860.20895522388
173,191516.25
174,213991.7331378299
175,157233.36956521738
176,206566.65460526315
177,231330.9289099526
178,183189.19672131148
179,242817.03829787235
180,191516.25
181,234789.4807017544
182,231697.91666666666
183,239038.23036649215
184,191516.25
185,144774.9843137255
186,147471.84210526315
187,134786.06545454546
188,128221.11961722487
189,128807.51445086705
190,131334.01315789475
191,128807.51445086705
192,128807.51445086705
193,157094.54857142858
194,149698.09663865546
195,150379.3407572383
196,157094.54857142858
197,156752.42105263157
198,133498.7109375
199,144774.9843137255
200,430819.0
201,401187.87248322146
202,401187.87248322146
203,454490.7831325301
204,335069.12727272726
205,317322.33636363636
206,358823.5380116959
207,335069.12727272726
208,320793.2363636364
209,349221.6724738676
210,255042.92307692306
211,467202.4768041237
212,325866.4887218045
213,247425.9705093834
214,161084.5447368421
215,178283.55752212388
216,219580.92333333334
217,450430.43396226416
218,361393.677839851
219,329792.8245614035
220,318573.5483870968
221,308691.8862275449
222,199477.53333333333
223,217727.82165605095
224,214298.53658536586
225,203595.07692307694
226,203595.07692307694
227,218172.23428571428
228,218172.23428571428
229,219580.92333333334
230,206566.65460526315
231,268420.96875
232,203595.07692307694
233,191516.25
234,203595.07692307694
235,257106.76623376625
236,203595.07692307694
237,354760.0
238,343392.41964285716
239,243386.09174311926
240,246122.05050505052
241,251248.11805555556
242,268420.96875
243,305028.6918238994
244,245202.04705882352
245,430819.0
246,222975.74631268438
247,206566.65460526315
248,279815.3215339233
249,230440.66210045663
250,246122.05050505052
251,242817.03829787235
252,279736.54411764705
253,231330.9289099526
