,SalePrice
0,121100.8
1,148690.0
2,190290.0
3,190690.0
4,217540.0
5,178143.2
6,169903.2
7,175973.2
8,189015.7
9,124625.0
10,202339.0
11,96330.0
12,109635.0
13,147850.0
14,158836.5
15,404447.0
16,262343.0
17,266849.0
18,232509.0
19,411765.4
20,308424.0
21,226902.1
22,184363.2
23,184513.3
24,173003.2
25,185793.4
26,338786.8
27,232039.0
28,205452.5
29,184470.0
30,199151.0
31,89582.1
32,185175.0
33,290860.3
34,280884.1
35,224187.7
36,186630.0
37,153185.2
38,149760.0
39,147089.9
40,161990.0
41,157175.0
42,264225.4
43,232189.0
44,215062.5
45,192825.0
46,210560.0
47,205530.0
48,167640.0
49,153100.0
50,160430.0
51,166065.0
52,178030.0
53,148540.0
54,187570.0
55,156450.0
56,163900.0
57,128150.0
58,229675.8
59,142775.0
60,149400.0
61,169330.0
62,115350.0
63,120690.0
64,124440.0
65,122790.0
66,109037.1
67,127370.0
68,147745.0
69,158790.0
70,131600.0
71,112910.0
72,154250.0
73,118100.0
74,163045.0
75,122840.0
76,94765.0
77,166405.2
78,225969.0
79,136750.0
80,160530.0
81,153545.0
82,204297.9
83,88900.0
84,95160.0
85,122190.0
86,145680.0
87,136250.0
88,114595.0
89,141510.0
90,120565.9
91,147040.0
92,147400.0
93,108800.7
94,174950.0
95,102650.0
96,143460.0
97,85090.0
98,162340.0
99,153200.0
100,162800.0
101,134955.0
102,134670.0
103,171832.4
104,161630.0
105,222025.6
106,93882.1
107,210230.0
108,133590.0
109,122760.0
110,125100.0
111,154185.0
112,234490.0
113,129590.0
114,227577.8
115,200730.0
116,198233.2
117,155048.5
118,138130.0
119,190648.5
120,134260.0
121,123325.0
122,302167.7
123,245200.0
124,141030.0
125,80690.0
126,102710.0
127,141881.8
128,99950.0
129,135140.0
130,113930.0
131,143327.1
132,110690.0
133,149376.4
134,124250.0
135,223700.0
136,166620.0
137,205699.1
138,218559.0
139,204750.0
140,86950.0
141,115440.0
142,96147.1
143,295090.0
144,262201.2
145,158670.0
146,185106.4
147,234430.0
148,196317.0
