,SalePrice
0,148500.0
1,157900.0
2,192000.0
3,167000.0
4,180000.0
5,188000.0
6,197500.0
7,175000.0
8,198900.0
9,119900.0
10,206000.0
11,118000.0
12,119900.0
13,143000.0
14,152000.0
15,412500.0
16,255000.0
17,285000.0
18,275500.0
19,465000.0
20,301500.0
21,254000.0
22,176432.0
23,179665.0
24,190000.0
25,219210.0
26,281213.0
27,147000.0
28,246578.0
29,208900.0
30,215200.0
31,100000.0
32,178000.0
33,340000.0
34,315000.0
35,227000.0
36,216000.0
37,147400.0
38,147400.0
39,173733.0
40,177500.0
41,215200.0
42,293077.0
43,302000.0
44,235000.0
45,239000.0
46,240000.0
47,206900.0
48,165150.0
49,160000.0
50,154000.0
51,218000.0
52,185000.0
53,207500.0
54,135000.0
55,179900.0
56,165500.0
57,110000.0
58,235000.0
59,135000.0
60,148000.0
61,165500.0
62,116050.0
63,133000.0
64,104900.0
65,111000.0
66,110000.0
67,132000.0
68,140000.0
69,159000.0
70,126000.0
71,109500.0
72,147500.0
73,107900.0
74,150000.0
75,120000.0
76,67000.0
77,270000.0
78,340000.0
79,91500.0
80,129500.0
81,140000.0
82,122000.0
83,129000.0
84,92000.0
85,131000.0
86,137000.0
87,152000.0
88,94750.0
89,138000.0
90,119200.0
91,152000.0
92,117500.0
93,118000.0
94,130500.0
95,86000.0
96,154000.0
97,92000.0
98,98000.0
99,149500.0
100,169500.0
101,133000.0
102,145000.0
103,181500.0
104,152000.0
105,187500.0
106,127000.0
107,211000.0
108,170000.0
109,147000.0
110,138000.0
111,163000.0
112,279500.0
113,60000.0
114,187500.0
115,211000.0
116,206000.0
117,178000.0
118,163500.0
119,191000.0
120,129900.0
121,119900.0
122,305900.0
123,268000.0
124,136500.0
125,80000.0
126,107500.0
127,154000.0
128,141000.0
129,125000.0
130,102000.0
131,150750.0
132,129900.0
133,160000.0
134,91500.0
135,215000.0
136,138000.0
137,215200.0
138,197000.0
139,180000.0
140,86000.0
141,127500.0
142,81000.0
143,275000.0
144,230000.0
145,167900.0
146,127500.0
147,189000.0
148,206000.0
149,192140.0
150,157900.0
151,124000.0
152,143500.0
153,131400.0
154,75500.0
155,75000.0
156,81000.0
157,138000.0
158,163500.0
159,152000.0
160,145000.0
161,167000.0
162,337000.0
163,240000.0
164,131000.0
165,218000.0
166,192000.0
167,340000.0
168,187500.0
169,272000.0
170,265900.0
171,265900.0
172,190000.0
173,180000.0
174,185000.0
175,153900.0
176,138000.0
177,205000.0
178,181000.0
179,301000.0
180,167000.0
181,252678.0
182,230000.0
183,229456.0
184,179900.0
185,129500.0
186,175500.0
187,153900.0
188,156000.0
189,119900.0
190,148000.0
191,100000.0
192,94500.0
193,146000.0
194,175500.0
195,146000.0
196,146000.0
197,146000.0
198,157000.0
199,156000.0
200,465000.0
201,335000.0
202,320000.0
203,555000.0
204,315000.0
205,274900.0
206,315000.0
207,315000.0
208,285000.0
209,412500.0
210,239686.0
211,555000.0
212,281213.0
213,270000.0
214,196000.0
215,186000.0
216,207000.0
217,555000.0
218,315000.0
219,326000.0
220,277500.0
221,262000.0
222,175900.0
223,162000.0
224,174000.0
225,192500.0
226,162000.0
227,178740.0
228,178740.0
229,184000.0
230,184000.0
231,250000.0
232,190000.0
233,185000.0
234,162000.0
235,265000.0
236,162000.0
237,381000.0
238,228500.0
239,239000.0
240,250000.0
241,250000.0
242,245000.0
243,274900.0
244,164000.0
245,555000.0
246,208900.0
247,246578.0
248,412500.0
249,147000.0
250,232000.0
251,265900.0
252,279500.0
253,227000.0
254,178000.0
255,165000.0
256,160000.0
257,176432.0
258,189000.0
259,239000.0
260,165000.0
261,84500.0
262,155000.0
263,187750.0
264,266500.0
265,187000.0
266,143500.0
267,178000.0
268,162000.0
269,185000.0
270,124000.0
271,119900.0
272,148500.0
273,156000.0
274,138000.0
275,124500.0
276,402000.0
277,241500.0
278,290000.0
279,200000.0
280,185000.0
281,155000.0
