,SalePrice
0,80000.0
1,149350.0
2,185000.0
3,193500.0
4,170000.0
5,165500.0
6,155000.0
7,178000.0
8,167000.0
9,122000.0
10,179200.0
11,89500.0
12,100000.0
13,148500.0
14,107500.0
15,335000.0
16,250000.0
17,287090.0
18,287090.0
19,555000.0
20,440000.0
21,254000.0
22,178900.0
23,167240.0
24,224000.0
25,225000.0
26,333168.0
27,147000.0
28,233170.0
29,192000.0
30,197000.0
31,66500.0
32,190000.0
33,315000.0
34,305900.0
35,179200.0
36,197000.0
37,177000.0
38,148800.0
39,175500.0
40,183900.0
41,167240.0
42,305900.0
43,230500.0
44,220000.0
45,200000.0
46,320000.0
47,196000.0
48,159000.0
49,160000.0
50,149000.0
51,159000.0
52,140000.0
53,150000.0
54,256000.0
55,170000.0
56,141000.0
57,145000.0
58,214000.0
59,132500.0
60,145000.0
61,159000.0
62,119750.0
63,129000.0
64,129000.0
65,110000.0
66,124500.0
67,132000.0
68,143250.0
69,137500.0
70,136000.0
71,52500.0
72,105900.0
73,119900.0
74,79900.0
75,89500.0
76,115000.0
77,239000.0
78,239000.0
79,137000.0
80,134432.0
81,89500.0
82,158000.0
83,68500.0
84,89000.0
85,137500.0
86,89500.0
87,136000.0
88,167500.0
89,135000.0
90,66500.0
91,205000.0
92,137500.0
93,114504.0
94,157900.0
95,96500.0
96,55000.0
97,95000.0
98,136000.0
99,144000.0
100,55000.0
101,139000.0
102,127500.0
103,180500.0
104,135000.0
105,260000.0
106,105000.0
107,196000.0
108,91500.0
109,104900.0
110,115000.0
111,135000.0
112,226000.0
113,110000.0
114,260000.0
115,225000.0
116,233170.0
117,176500.0
118,143000.0
119,165500.0
120,136500.0
121,123000.0
122,305900.0
123,225000.0
124,144000.0
125,72500.0
126,84900.0
127,148000.0
128,137500.0
129,104900.0
130,80000.0
131,98000.0
132,133000.0
133,136000.0
134,169000.0
135,185000.0
136,190000.0
137,193500.0
138,189000.0
139,180000.0
140,120000.0
141,106500.0
142,81000.0
143,275000.0
144,255000.0
145,198900.0
146,171000.0
147,248328.0
148,233170.0
149,175000.0
150,167900.0
151,132000.0
152,143000.0
153,139400.0
154,75000.0
155,75000.0
156,75000.0
157,128500.0
158,122000.0
159,150900.0
160,138000.0
161,123000.0
162,345000.0
163,213000.0
164,129000.0
165,156500.0
166,181000.0
167,281213.0
168,188000.0
169,280000.0
170,211000.0
171,212000.0
172,148800.0
173,208500.0
174,200000.0
175,149000.0
176,155000.0
177,215000.0
178,149500.0
179,197000.0
180,149500.0
181,226000.0
182,230500.0
183,254000.0
184,201800.0
185,149000.0
186,149000.0
187,122000.0
188,136500.0
189,124500.0
190,124500.0
191,85400.0
192,85400.0
193,189000.0
194,140000.0
195,146000.0
196,189000.0
197,153900.0
198,128500.0
199,145500.0
200,315000.0
201,315000.0
202,315000.0
203,555000.0
204,266000.0
205,282922.0
206,350000.0
207,320000.0
208,350000.0
209,320000.0
210,260400.0
211,337000.0
212,248000.0
213,250000.0
214,185000.0
215,196000.0
216,185000.0
217,386250.0
218,372402.0
219,266000.0
220,277500.0
221,293077.0
222,179600.0
223,183500.0
224,174000.0
225,167240.0
226,225000.0
227,225000.0
228,183500.0
229,184000.0
230,190000.0
231,255000.0
232,165000.0
233,193500.0
234,180500.0
235,221000.0
236,168500.0
237,305000.0
238,350000.0
239,225000.0
240,260000.0
241,248900.0
242,252000.0
243,284000.0
244,275000.0
245,555000.0
246,208300.0
247,233170.0
248,250000.0
249,254000.0
250,305000.0
251,254000.0
252,175900.0
253,227000.0
254,190000.0
255,164700.0
256,164700.0
257,80000.0
258,164700.0
259,250000.0
260,164700.0
261,80000.0
262,155000.0
263,175900.0
264,269790.0
265,226700.0
266,153900.0
267,190000.0
268,155000.0
269,124500.0
270,148500.0
271,134900.0
272,100000.0
273,129000.0
274,81000.0
275,134500.0
276,402000.0
