,SalePrice
0,126205.389341762
1,162157.79405723832
2,186401.8219243079
3,182578.57546734787
4,196289.3426528891
5,173331.29976066784
6,172806.96406684828
7,166612.1079977181
8,189908.1186161278
9,127783.47819018584
10,207301.26434855675
11,99843.7453831822
12,101499.8483720601
13,152793.47210619217
14,136437.99783477295
15,462318.44875290786
16,265751.7865517265
17,290781.8012819462
18,272240.5302487312
19,498614.06041616545
20,333809.5999445337
21,215069.72306957262
22,171909.28952499345
23,173704.06663987707
24,171675.74175867697
25,196918.62131325065
26,384276.71182996203
27,248164.0294286956
28,197105.51879985793
29,214327.26141682777
30,187581.63795414392
31,95558.21248729939
32,182788.2663350579
33,301139.5678962824
34,294150.380467018
35,235904.43182609577
36,179728.1942877819
37,162117.30685788035
38,164034.02591933464
39,143873.42950700427
40,173794.20650854093
41,162845.73084567397
42,296182.88932909025
43,237975.30739179143
44,217391.22134142224
45,186396.55103199472
46,242832.09565989795
47,192686.01834844676
48,157493.97023035682
49,143767.10314192733
50,142853.41001350863
51,166479.39340213363
52,152808.92999554158
53,167147.3732475023
54,197484.7769783194
55,159748.84902401292
56,158242.4299041648
57,131681.51294147642
58,227605.6567390866
59,134973.94717888115
60,136935.47455443596
61,165594.743584932
62,106171.50340507869
63,125279.15887270459
64,127128.02037822339
65,131850.99534551438
66,110980.86736779292
67,126011.24897332859
68,148179.14850596877
69,181389.4759566826
70,97583.91174091962
71,107089.02015522962
72,143604.5989340723
73,121487.99657082045
74,156371.46274811027
75,113792.32947034412
76,88247.67769048753
77,176749.68729963078
78,227717.5520941312
79,91856.0836467887
80,141944.38211576795
81,142264.74081803806
82,210467.58358766814
83,74321.5491199227
84,108708.17298175712
85,118979.26703216854
86,120984.56295646889
87,125798.54337317006
88,109329.87177336766
89,138920.48431529812
90,121272.34035637126
91,146059.9121303955
92,146517.21558447028
93,106169.88085741606
94,164860.23269361048
95,83139.19664685027
96,115094.74751218995
97,107825.49664245175
98,107414.199061281
99,143266.50113817593
100,131141.93604669152
101,127730.59632102757
102,126346.31319287073
103,157512.5974223148
104,145224.61948357633
105,226697.00263218282
106,85722.35811970469
107,218260.87919149187
108,145647.3653180174
109,132435.36660901012
110,122316.251329392
111,149596.28932566423
112,266362.630402724
113,117050.09017757594
114,220182.57462954614
115,206085.3317782689
116,191300.07191741592
117,154036.40421985585
118,147715.19718732778
119,193399.8833819194
120,142660.30096100632
121,127497.65338874632
122,323308.68519406643
123,221786.35260290556
124,138434.14128938733
125,87439.45747772907
126,101892.85571036076
127,148678.5884310825
128,101102.91758839578
129,135027.7104315681
130,92331.21103283418
131,121475.39682221593
132,127262.54736037923
133,149708.0280409445
134,128542.35922006935
135,242892.79524367262
136,189518.59893670055
137,206882.74808199293
138,195854.59410544275
139,196630.16538958298
140,85140.74350825997
141,113149.49065006581
142,99405.82472409675
143,285771.9959400524
144,247602.43268245374
145,163285.7995031959
146,166644.30758597748
147,211099.02704142523
148,194606.5558797833
149,144970.42208270938
150,140329.23492422575
151,174145.73812755567
152,156384.78808948313
153,125582.60204971419
154,89465.63779911325
155,73655.55075757486
156,95089.97545323933
157,126577.09068182397
158,142446.69983761123
159,163895.65470039909
160,141189.9916781618
161,147474.38337628607
162,281459.15567962185
163,204672.51151100497
164,137453.3419633295
165,163889.9104783095
166,190670.3165347177
167,292024.26948759233
168,180311.43600389778
169,364830.17236308556
170,247505.382629925
171,258919.8289427407
172,170554.26555856067
173,177157.4243087786
174,179480.4609557504
175,162618.44470419575
176,170292.94940849932
177,210888.49312849875
178,164299.74507853345
179,252670.35945577547
180,176184.87400384012
181,218668.76162699677
182,217286.68678241808
183,216013.4038274468
184,176814.66966736928
185,150406.1174846573
186,168293.89518341137
187,130729.64273453526
188,138465.91622062074
189,121413.2756735728
190,125437.70929828269
191,99556.64051305629
192,98154.62001260566
193,150423.3441149791
194,157744.59239204024
195,148324.51482558477
196,150423.3441149791
197,143802.49307812107
198,140998.61335098892
199,144057.37693615913
200,450077.283027364
201,412277.63171522814
202,397688.77978164406
203,431333.62593136664
204,325164.4033119237
205,325122.10940961324
206,390897.8221678063
207,336331.91903015366
208,304398.7881835213
209,352872.2833039157
210,248729.36319662366
211,422092.9753677944
212,303325.8646254055
213,256520.90723092575
214,183543.4169654943
215,184640.16331694118
216,209253.90675244544
217,441154.2941481968
218,380654.29360426066
219,322313.4123927536
220,281997.49189762626
221,300341.3117040004
222,182737.1044349243
223,175820.79740515933
224,172606.41543592562
225,177415.73241621556
226,166356.61551088752
227,185577.5456580745
228,189320.590890916
229,192983.99559246495
230,175429.04782289013
231,279897.2744393005
232,165785.5722762063
233,182971.99117877413
234,171629.1915757827
235,284578.9575313822
236,174010.36941459903
237,367628.3945710764
238,318133.2450344955
239,238184.47631375707
240,260735.59275400016
241,260468.40297139974
242,259661.7394304195
243,284074.5595156469
244,249933.0706030483
245,400548.80963781814
246,217024.32779285416
247,193975.65513649286
248,277866.28918425756
249,218608.64162261825
250,237489.64204458118
251,258818.4673219605
252,247614.5377433519
253,217257.14506736762
254,196972.9254634888
255,182972.0583975676
256,173708.24481244097
257,145160.241589184
258,200878.25989052828
259,256612.06200695905
260,172594.86584915713
261,129267.35173429463
262,154000.46030345146
263,207487.11019429847
264,235205.27541789823
265,178092.5582715233
266,154759.42486364735
267,187095.29414754277
268,159431.63205146047
269,161515.51904492985
270,127673.96151687941
271,132162.74939820007
272,125631.38302594206
273,130907.92141890898
274,130774.14823920389
275,112435.21094083355
276,344263.0417467816
277,207753.18148371257
278,287680.48157844483
279,227832.47777387095
280,185343.02163911363
281,164454.08358848334
282,171325.6387907076
283,299389.7652421892
284,214836.15557860764
285,225169.56352289428
286,211520.63552706977
287,221283.87996397197
288,151012.59011683334
289,136373.03328372992
290,246906.70770513074
291,122789.43592401851
292,141175.87361182316
293,208311.75592245537
294,163803.25504625784
295,128575.13762027374
296,126392.98504128092
297,138522.3660613875
298,159896.11176005137
299,164387.36562928947
300,142404.44751113863
301,175494.12292653168
302,173403.87580201877
303,116072.63587694496
304,166093.3353303285
305,173367.64635599806
306,205356.8463989529
307,140736.19045332534
308,175063.57152537562
309,140487.37834428056
310,138725.03399915146
311,134210.87485583918
312,129807.28516854308
313,119139.78136009154
314,140948.984275203
315,131061.83163094799
316,117391.26550547875
317,138628.3972020425
318,111479.13852264425
319,182441.93695188515
320,129496.43324848896
321,93973.32062494234
322,127837.32094423343
323,108607.26803941967
324,117281.78475310997
325,165942.16933084253
326,154975.31697170972
327,61796.06835089628
328,99763.73908557644
329,93458.33245241942
330,181476.3479083753
331,148471.09033309369
332,137998.82188127883
333,142858.57758251118
334,139439.22066828824
335,126686.66106046906
336,118512.5528710848
337,123146.2504161363
338,118762.22816397264
339,134235.3168514756
340,128353.22205512067
341,144893.54908924823
342,156468.30590961568
343,141185.4103104359
344,138270.06083148238
345,106118.66632080553
346,137018.70207483298
347,126344.53034941529
348,118773.7190048707
349,140254.85244048524
350,94955.82586397234
351,104467.32956111664
352,118125.70282778758
353,96098.74283261831
354,65137.08690133523
355,92090.78407580055
356,112239.38202682667
357,159425.6540421361
358,116452.15891004175
359,65559.39960520498
360,114071.176207318
361,143973.72846538178
362,52693.58935768619
363,133741.80932110213
364,120364.00753815816
365,94960.27865972563
366,103393.56767746972
367,124783.02964312176
368,108695.58521321973
369,131736.13559554997
370,182982.21388689667
371,78714.99195108382
372,145576.7690586985
373,122549.52696390341
374,167607.52484651117
375,115526.2725444974
376,91131.00185527868
377,114520.04522059571
378,83662.02491481237
379,154591.98287684348
380,143570.06840307434
381,74680.62035270371
382,139854.58823441426
383,141557.2510844504
384,143797.98575299548
385,162618.25279166145
386,160774.64164581543
387,71001.83842696281
388,119200.48053796828
389,121400.57713853831
390,153066.46948582458
391,128711.7507961069
392,126253.80616154737
393,171941.42552728378
394,142437.74466706568
395,216857.52976734808
396,165600.24133197608
397,135300.1487299952
398,121462.94942164583
399,142851.9553636131
400,121462.94942164583
401,304179.7074087852
402,301570.37071458
403,301570.37071458
404,356533.58813259547
405,342983.4928942545
406,259669.64710909355
407,301627.79646785324
408,192445.6963157048
409,245626.78703110607
410,261208.12161760314
411,167725.68824555908
412,236507.99930752366
413,142416.46199515616
414,217790.16154326827
415,188080.69945443765
416,219311.24033160543
417,209112.93642980928
418,137197.98772048083
419,131679.6045874433
420,231514.55900118174
421,247695.8278007735
422,191810.87130493807
423,209395.17864821013
424,268409.96345719136
425,298359.01861201157
426,213109.94787085784
427,279752.7264256948
428,157372.47619682486
429,127429.69328269054
