,SalePrice
0,154640.0
1,187680.0
2,181960.0
3,198360.0
4,167960.0
5,169640.0
6,139880.0
7,169366.4
8,171560.0
9,126500.0
10,246200.0
11,102000.0
12,119000.0
13,157800.0
14,126780.0
15,225162.6
16,220061.6
17,252525.6
18,232692.6
19,423300.0
20,293300.0
21,195918.8
22,122160.0
23,185448.0
24,170760.0
25,148686.4
26,258676.2
27,205768.0
28,196513.4
29,198800.0
30,198500.0
31,112910.0
32,195444.4
33,230860.0
34,275000.0
35,262595.6
36,155910.4
37,156357.0
38,159946.6
39,159946.6
40,177306.6
41,139280.0
42,213571.8
43,167000.0
44,224591.2
45,236768.6
46,265380.0
47,191974.0
48,160200.0
49,161940.0
50,158080.0
51,198680.0
52,156160.0
53,214191.8
54,195300.0
55,133033.0
56,179800.0
57,179920.0
58,188891.2
59,143900.0
60,159700.0
61,198680.0
62,142286.4
63,135300.0
64,137500.0
65,149400.0
66,110680.0
67,139600.0
68,148940.0
69,158480.0
70,125006.8
71,132940.0
72,119800.0
73,123080.0
74,185080.0
75,119380.0
76,119290.0
77,138700.0
78,158100.0
79,143200.0
80,131747.0
81,123400.0
82,162800.0
83,127480.0
84,120600.0
85,124480.0
86,132290.0
87,133670.0
88,122480.0
89,133670.0
90,119700.0
91,185200.0
92,192877.4
93,159477.0
94,243984.4
95,152947.0
96,164480.0
97,119200.0
98,145470.0
99,129890.0
100,245480.0
101,128500.0
102,130480.0
103,160540.0
104,168527.0
105,230094.0
106,115910.0
107,212333.0
108,147600.0
109,150300.0
110,120580.0
111,158760.0
112,222700.0
113,182228.2
114,170891.8
115,184680.0
116,163255.8
117,193502.0
118,142600.0
119,173100.0
120,186644.4
121,131060.0
122,297638.4
123,182300.0
124,143440.0
125,102980.0
126,109380.0
127,165380.0
128,171887.0
129,117700.0
130,108850.0
131,151940.0
132,115440.0
133,164770.6
134,145780.0
135,154300.0
136,234800.0
137,189994.0
138,142960.0
139,155610.0
140,105600.0
141,124400.0
142,106780.0
143,218875.6
144,195380.0
145,162140.0
146,241125.6
147,215389.8
148,159520.4
149,146680.0
150,232777.0
151,232868.2
152,215389.8
153,132000.0
154,104800.0
155,105800.0
156,106800.0
157,121080.0
158,147680.0
159,157300.0
160,132580.0
161,150580.0
162,281853.8
163,191091.8
164,150860.0
165,202560.0
166,221440.0
167,267380.0
168,163206.4
169,219040.0
170,181985.8
171,160000.0
172,146086.4
173,173100.0
174,168200.0
175,163255.8
176,191000.0
177,209680.0
178,197228.2
179,245942.6
180,172600.0
181,165700.0
182,167200.0
183,186386.4
184,217415.4
185,147080.0
186,146300.0
187,154200.0
188,123800.0
189,129480.0
190,118500.0
191,112600.0
192,111800.0
193,164700.0
194,126600.0
195,161900.0
196,164700.0
197,157600.0
198,113200.0
199,143100.0
200,338900.0
201,280442.6
202,268752.2
203,421631.4
204,253025.6
205,260800.0
206,234453.0
207,250480.0
208,206600.0
209,307800.0
210,237080.0
211,393700.0
212,216262.0
213,242216.2
214,180010.0
215,206500.0
216,209180.0
217,429300.0
218,332900.0
219,176170.0
220,167698.8
221,269600.0
222,193228.0
223,181747.0
224,143686.4
225,185448.0
226,148300.0
227,185200.0
228,161860.0
229,157000.0
230,186706.4
231,204060.0
232,128080.0
233,181786.4
234,172300.0
235,244000.0
236,171786.4
237,291120.0
238,244050.0
239,212060.0
240,238260.0
241,257675.6
242,235034.2
243,280253.8
244,201216.4
245,323218.4
246,193520.0
247,180320.0
248,215461.6
249,188935.8
250,211000.0
