,SalePrice
0,132091.81239809154
1,163753.3916530991
2,191423.77914970892
3,197580.58076577715
4,216220.45031288906
5,168600.06281230738
6,163963.16670556762
7,154971.19062014832
8,199456.62915889872
9,120573.04671239108
10,169416.42477268062
11,98003.98115969845
12,101703.00807536521
13,151991.41505108774
14,109441.9020666416
15,381954.55674793
16,268307.4767816528
17,304543.65926879225
18,293206.77543661394
19,489670.76203120546
20,319129.13832257513
21,202444.77509370097
22,175458.5599965729
23,170050.9157187729
24,175296.70338352455
25,187573.4550738422
26,326699.204992607
27,223077.99778570922
28,203066.63866970257
29,244330.70031642052
30,207498.24700729956
31,122761.70457453502
32,189787.82679289498
33,277340.4215963762
34,280615.0567587812
35,228377.56510911672
36,179234.55754866556
37,174525.0693538693
38,169577.78216051578
39,153480.74403365888
40,185453.39834568673
41,135815.62211781135
42,294663.7182359657
43,228683.67913478042
44,220717.1219917268
45,192602.8079147439
46,258722.52776423434
47,210380.3189095041
48,160102.89178918512
49,147384.78545654425
50,152778.64761436172
51,169054.87904880196
52,153324.79385706037
53,174461.29565020697
54,214114.06524126546
55,159427.789190804
56,172905.80928069225
57,119701.34051811427
58,204897.05180789903
59,129280.73018080776
60,135748.95989525528
61,188372.5659305118
62,108108.89016590978
63,128287.07673946803
64,123688.02852519625
65,100941.52871146763
66,117509.75997351669
67,128187.74518489768
68,167877.01655523083
69,203641.88555905258
70,134212.7228669353
71,91472.8418155167
72,166593.76940273528
73,153738.82924375427
74,143966.11580012192
75,92648.88604853186
76,57479.1470049863
77,150591.81681542273
78,188564.61691488547
79,106327.28025890666
80,138587.99315259035
81,178131.69177702686
82,189102.39583968616
83,84080.96860719798
84,117963.74236117327
85,153206.7937415348
86,153954.84647531435
87,155202.04155512108
88,133855.5559956819
89,156440.47852943942
90,94188.42065763613
91,171510.0318854883
92,154308.9072006418
93,112367.57877610286
94,162740.88327059278
95,72074.99652739789
96,112027.89841064566
97,93764.7575063319
98,85281.98620829335
99,137410.68729651975
100,127251.71609225788
101,138510.1908180901
102,126644.76573975
103,153500.5720708511
104,176301.77469966083
105,228620.45697561884
106,72955.40596199513
107,216795.85240764858
108,146171.73011272203
109,127682.04994114442
110,94563.56763605017
111,145786.10963210976
112,265994.87115822884
113,135603.29382255173
114,234854.6289480367
115,238146.0815042021
116,184027.14492721867
117,155782.12928127695
118,138502.255231575
119,188345.12287695007
120,163064.77941674716
121,135294.06940509414
122,283522.75555904116
123,220069.28259942355
124,131119.67812494293
125,64245.089522915194
126,123843.08008449303
127,147926.33896770678
128,110896.45647894742
129,111709.91713347356
130,95236.37559277809
131,100097.933545599
132,126723.13910190132
133,150945.94805245497
134,121506.02502247726
135,230601.7819275814
136,209256.0315267666
137,219027.01933169237
138,187650.97431737883
139,168627.4092833912
140,45824.512679856736
141,131100.90235931275
142,96220.96301982261
143,268361.29447716277
144,225090.84581946803
145,147885.43749364663
146,148347.81350434432
147,200963.25769314053
148,190473.47807670268
149,152450.67410392745
150,120730.43121193629
151,186732.47235655377
152,167829.01286999602
153,134466.51231067395
154,105397.24714398896
155,81200.88269444928
156,89276.81112820562
157,130636.5287824599
158,152736.271519767
159,184816.8500974112
160,140029.79303678265
161,153929.74328971398
162,264630.6422569052
163,208599.0392317128
164,109194.09282977704
165,158848.85209809698
166,188978.49314553558
167,277954.8558010602
168,167166.97317245125
169,362464.2278554491
170,268836.025307977
171,264897.5195777883
172,162621.98726226308
173,171732.0484213808
174,164602.48116387834
175,144077.30484242633
176,202998.67597234703
177,178321.95092676382
178,176077.89099241875
179,228622.2792015276
180,178793.0330171968
181,248412.03159767622
182,215650.1769889407
183,239385.83326805104
184,217875.55677375232
185,158451.55028550734
186,150725.3441145782
187,127752.27567687002
188,120913.92296311958
189,105625.95687836781
190,121289.62376185344
191,97416.86602507147
192,100048.61481986614
193,150561.67107870965
194,128498.3787233847
195,140319.92088897363
196,155060.18384580116
197,144300.74726578512
198,118157.10664989252
199,160289.56070065533
200,448902.882463751
201,382414.9453368052
202,399584.51959772455
203,514796.4541252282
204,345388.2850964238
205,332630.7880610486
206,378191.47186142986
207,370841.8081412449
208,304948.64905239025
209,377368.4872135831
210,271417.16489111434
211,398700.62388056994
212,292514.4163026174
213,253466.2502027715
214,201719.6502844988
215,211695.46301848
216,212943.0381967572
217,474118.99142168416
218,385694.7697607459
219,346087.76105035504
220,287344.86744105
221,328165.7194187924
222,188833.62763537152
223,172611.98539228726
224,170358.5040422699
225,169583.9724159385
226,162790.49899856222
227,183590.21526005457
228,185725.89445730974
229,183511.82141674554
230,171809.7693813002
231,248680.8414298409
232,182064.28284037346
233,175084.66638327076
234,167256.25034029258
235,259419.45575523295
236,171581.16033761576
237,335705.150181114
238,320315.085584783
239,267102.4618702808
240,263592.6720038912
241,235690.0399981551
242,225392.48469029495
243,268111.2263040892
244,231906.3812341534
245,198478.53366303653
246,208581.16077127878
247,197800.11940509733
248,247103.99557738623
249,215149.81608246034
250,257917.72393538663
251,240195.60824520048
252,275987.17484669224
253,231353.32778326864
254,208302.2160236393
255,196528.57588365104
256,176017.6691147847
257,155659.32694480056
258,237141.73679961788
259,263899.52734419866
260,152505.36039990245
261,120970.42385649041
262,153945.79482408531
263,216423.08156432363
264,250635.68190250918
265,202057.61546816595
266,130601.23628049425
267,155765.14566252741
268,181785.75996873376
269,162763.7877985068
270,108260.0632829211
271,143815.2954689666
272,110021.02954944794
273,143080.67078304663
274,80968.6961832873
275,93481.03339382622
276,306586.3600178064
277,272653.29813297244
278,244443.25563973095
279,215239.57596461184
280,189694.9804231451
281,168506.8667812004
282,173733.34186065255
283,389096.349296908
284,208627.8000743339
285,191290.90292019933
286,235225.67068976245
287,237476.47097070608
288,138569.71299413592
289,123423.96322535281
290,238630.62895167177
291,107024.94941224437
292,154371.26699529926
293,198486.712148907
294,176236.38101963594
295,136467.47837490484
296,123392.09724121122
297,152006.7679014334
298,163517.49754229886
299,158521.09632822452
300,148213.75953260018
301,193236.04538905493
302,186699.05700022506
303,118767.31235995714
304,161614.42117812997
305,199397.48924379493
306,224545.20209998253
307,136526.44113354955
308,162626.8291847919
309,141350.6037849522
310,129070.14132504037
311,140153.29790989554
312,112838.62957807421
313,153876.41965871817
314,134465.0253872529
315,129309.963587648
316,108439.14369401266
317,145881.95281219797
318,128405.33260302001
319,160861.92040503258
320,118224.53900572297
321,76586.20533405291
322,148850.17574564344
323,89093.76790746266
324,134892.2054578032
325,160520.48573123326
326,155417.12051334616
327,40676.18357775954
328,100484.36913600983
329,74734.04861202103
330,196137.13089992153
331,161478.0664378351
332,145759.64610441902
333,159389.99340449716
334,139356.07646303007
335,142719.52494288306
336,125671.81268104096
337,124667.99130990531
338,108957.74388425506
339,123317.72334870358
340,134772.08853522048
341,116855.01692006912
342,160722.63774992607
343,117389.07942203362
344,123488.77756188565
345,130427.83437746251
346,135210.27339210757
347,123941.54190516844
348,137451.57918262482
