,SalePrice
0,131984.6841399232
1,161711.24659287743
2,191685.53804090281
3,198039.41309894947
4,216394.37387936178
5,168665.3174492343
6,163602.18584648857
7,154843.64528802643
8,200444.37425152725
9,120386.23557162704
10,168524.1163382805
11,97964.52332305629
12,101953.68763491535
13,151742.8541628978
14,109202.83710737212
15,382101.6489873807
16,268827.0999510321
17,305205.8630797524
18,293270.8511312172
19,490450.05285475566
20,319558.15303124953
21,202195.47266903217
22,175570.71459637955
23,170184.35577403114
24,174681.2996440254
25,187330.62087174167
26,326946.6763255873
27,220488.18468419067
28,203363.5362008703
29,244418.47964892955
30,207904.6938633857
31,123385.82654200436
32,188688.91616731964
33,276152.8021305213
34,280615.09471879667
35,228323.05054458627
36,179259.6314858282
37,174237.30890252942
38,169906.87192281045
39,153306.44527737563
40,185525.0291321274
41,135476.63885588862
42,303396.8551695369
43,228810.8717533428
44,220830.67391713941
45,193230.36414100043
46,258995.17883032165
47,210460.51439075696
48,160398.0269391659
49,147313.57049164514
50,152276.5003421309
51,169064.8761068082
52,151957.0705100872
53,176651.66267441737
54,213776.45338938572
55,158792.96213951323
56,173206.7801908342
57,120198.91425979347
58,204021.9731814001
59,129422.07297269383
60,135753.48876819888
61,188157.03959616472
62,107905.95193973079
63,128742.3872820111
64,123695.24780719541
65,100828.72350270755
66,117411.59107557172
67,128464.5087519408
68,169032.29229280597
69,204128.74975704122
70,134666.50387325836
71,91465.19754782133
72,167984.24215007282
73,159120.98722544103
74,143600.20846557978
75,92737.94213596138
76,54231.433751042
77,151075.68153032532
78,187194.68606207264
79,106397.4583373064
80,139139.5131663608
81,179328.9671668294
82,189068.74324239104
83,83775.75700072118
84,118033.45061249274
85,152859.31502348324
86,154343.27863207716
87,155739.74703304423
88,134302.184546369
89,156037.17866261024
90,94520.7158311808
91,172001.77840791096
92,154570.42569922726
93,113072.63430786098
94,162688.56936405017
95,77950.96400786343
96,114489.8285852347
97,93410.25523000117
98,85086.33840951417
99,137174.20981755794
100,131545.85899805732
101,138902.32445307635
102,126767.59058623936
103,156228.645122497
104,176747.98720496823
105,228766.8092834712
106,72800.35223990062
107,216612.65732418222
108,145521.24409431382
109,126964.7673355292
110,94956.6486623789
111,146329.2407846863
112,265818.3648615541
113,134579.21190594195
114,233153.90559887572
115,238065.52807570715
116,184205.46023916698
117,156155.4832346614
118,137470.53459462267
119,188316.68111533416
120,163194.11459350737
121,135709.29552506807
122,283832.71112969774
123,220198.34235906368
124,130790.5189898056
125,65154.43552621431
126,124231.00418175769
127,147242.658907654
128,110552.58833474934
129,111109.11941659637
130,95590.24452956836
131,97635.73178144207
132,126949.32583161222
133,145272.4657110431
134,118309.12583791278
135,231632.03809753957
136,209805.50638271158
137,218803.96151594736
138,188625.8050928925
139,169345.12175931293
140,44611.77322742005
141,130620.89184280986
142,95728.83813916869
143,267950.23392247467
144,225049.5637981199
145,147249.13544765138
146,148810.8375031097
147,200949.6970549773
148,190756.751015165
