,SalePrice
0,157744.3479038396
1,162383.1431415757
2,192637.58838781915
3,193355.67882228168
4,178376.32766570564
5,183582.3403009329
6,179925.5727818123
7,169504.71870844436
8,185582.99308850843
9,153027.65259624843
10,189849.53646665122
11,145009.97583264377
12,145784.88184430162
13,163574.98562653814
14,133203.16839510124
15,252080.83310253397
16,214018.2977169669
17,238512.85143208966
18,231755.28136168412
19,344151.81465415953
20,257316.2789669699
21,190265.70409238266
22,182996.54949737407
23,164146.23706540486
24,156227.94817161607
25,187884.98533126025
26,268521.91141568084
27,217746.1553677769
28,178791.5016306688
29,203201.90479736877
30,191134.27668315833
31,146431.60653548824
32,181925.44983078405
33,237574.54758472025
34,242928.30948248014
35,195391.72905935402
36,177295.39789848417
37,155816.3512217425
38,150545.3746123741
39,157322.82758349544
40,190495.53634902078
41,142329.13731200647
42,217837.95240070016
43,207775.6704921873
44,206098.86338593444
45,222538.39845993425
46,246123.07003948267
47,212581.39434783792
48,176060.353016531
49,183906.2636730179
50,171226.08062773102
51,209172.9942317106
52,175994.51694070146
53,206826.23434095693
54,226245.6264356423
55,183366.01429091804
56,170584.8071991448
57,199406.04334734383
58,219454.65454781082
59,164095.1621020774
60,171478.39708138813
61,203137.807776407
62,158161.64742492017
63,148247.21022368732
64,146731.73949125988
65,150769.93314611018
66,141350.0622665508
67,163043.4666485713
68,162277.98237041468
69,207786.40793453547
70,191263.14647406703
71,135381.3809464173
72,163733.27128347135
73,152882.66159773828
74,181821.0064513495
75,154125.1917181876
76,141573.63491258665
77,175248.4426399004
78,192836.81945751305
79,192434.848040421
80,171452.51805490788
81,178369.4512918769
82,200386.59170148594
83,129656.53809683445
84,140022.7266236396
85,149581.16064203522
86,171869.32800816608
87,166099.95466319137
88,152458.5196027312
89,175189.89343298224
90,154114.5036878255
91,192938.30519734204
92,176612.64088190076
93,145346.0224436315
94,202390.70065544767
95,143189.99201354472
96,165783.48265765622
97,131531.56462503938
98,166979.79758720004
99,183355.26827735198
100,209069.44816703067
101,138325.22726759667
102,146785.2450099523
103,185358.77329231935
104,168001.58704827193
105,213548.10673711234
106,132609.6565611953
107,230885.04683201687
108,173619.9285239018
109,140557.72472463854
110,153111.27089839525
111,173030.44689193825
112,205490.43849448432
113,178079.26923126882
114,212204.19897359
115,224091.69515310493
116,177425.71231426756
117,167495.73425149213
118,156898.6257592674
119,186426.1178224251
120,155800.72832452034
121,145587.27172688962
122,256581.24153649702
123,219456.03462412933
124,151373.14769114475
125,98687.59458321687
126,127563.56767086139
127,172279.59742215346
128,156425.74552617586
129,154953.2920081823
130,137932.3155736884
131,166589.55934518293
132,144601.5204323803
133,181518.0305857293
134,173680.06115539186
135,226837.366320062
136,225670.81116124586
137,172978.85725115312
138,161199.57578312134
139,170187.16396160878
140,111697.45006032247
141,157536.13177609368
142,133149.1430397529
143,207199.66935716456
144,209752.0158524663
145,185667.5354222008
146,235074.4826633781
147,191716.83610297603
148,172733.31252849946
149,157147.6059818098
150,170135.22210239913
151,190268.603150907
152,194311.59370505807
153,148023.30714411772
154,133202.35177578605
155,129002.122021744
156,134827.20329789672
157,141981.06474234012
158,147830.14060245553
159,230401.5136390344
160,162130.18898557159
161,172492.30623702804
162,211153.28624058663
163,216006.93561009836
164,149039.20393888184
165,206312.67647441666
166,192269.42350892953
167,232630.3730300819
168,163593.513911848
169,261491.1560116836
170,193605.10134314917
171,208702.7743072709
172,158266.3976388726
173,185080.611239551
174,172464.61598433836
175,167961.1647346907
176,220966.70902930028
177,216047.52911926204
178,207619.46855053643
179,244713.24504778904
180,193976.04449162597
181,197500.74045686444
182,202037.0992414532
183,197596.4665117706
184,218304.54366841124
185,173384.2029705131
186,172405.9102572767
187,167353.01996929097
188,160938.93322765877
189,153426.1094420078
190,152544.69282506738
191,141415.00675036004
192,136378.5032000303
193,165217.20857258677
194,145382.80010864828
195,162212.08346381897
196,165538.24904960004
197,164365.94232938232
198,139434.4389022936
199,167069.64430874956
200,299179.28062426875
201,262442.7530328929
202,266711.8523437917
203,317715.4254011005
204,238434.6143534946
205,244519.2806517496
206,266186.6793518668
207,238511.9532991024
208,212788.5660942594
209,242748.50167974425
210,241260.3147470951
211,305707.54820078297
212,239866.06258584964
213,227796.95218660057
214,196400.19942425218
215,190499.32323353036
216,196268.7955774297
217,319453.13597580936
218,277490.7320276383
219,240610.18221037133
220,208738.26930351456
221,239360.6227534296
222,186007.86692798408
223,170743.80424428644
224,170683.79277848345
225,167322.82356966622
226,154077.0442630844
227,190037.18266787907
228,187215.8706580317
229,174502.78548976584
230,166746.43781904026
231,210728.20495058966
232,150943.41138674965
233,175072.5720194193
234,152839.88629021854
235,244982.16450247137
236,153079.8796442015
237,271168.87337437033
238,244329.7197003926
239,228205.28962239382
240,243071.44010048342
241,230736.5406671067
242,222145.0781749254
243,230162.8135848526
244,203795.3556642081
245,291850.8792554251
246,194401.90064954734
247,196498.60579815906
248,220767.68585145884
249,200684.9474073668
250,209444.6824281091
251,229786.71695480912
252,222118.3438368284
253,202816.3375061412
254,186411.85522404974
255,178434.59666515017
256,170094.3580216623
257,155800.02306510878
258,195497.2523364375
259,207150.14307954622
260,176773.32345038294
261,154909.6333032898
262,171429.83665634252
263,201334.58274965515
264,215896.0997687876
265,185667.76823325327
266,181018.84389196223
267,170253.64335241853
268,171558.48185080924
269,162982.00952192288
270,139316.29904225582
271,160021.5232852093
272,150261.6757497538
273,157567.42078640094
274,145467.64468475032
275,135324.90217603455
276,262801.6115752784
277,211646.05213541348
278,237299.3707452896
279,212169.1294814565
280,184483.67556792503
281,177801.93985298235
282,171561.1743878883
283,246012.8492011979
284,216470.39866602112
285,206993.13985177074
286,211501.18961717474
287,241820.94302428904
288,188313.8738543976
289,176065.9127051731
290,235630.20016303242
291,141775.78000649405
292,199911.10191893167
293,225441.6501348124
294,198010.4415587409
295,149227.80447515196
296,141036.75570359625
297,182318.80017257447
298,190847.04530176608
299,189081.51112611135
300,188455.4899389021
301,198852.55860462502
302,188710.3401829993
303,146394.83837367364
304,207601.48915883075
305,202143.69329537867
306,222203.75716461716
307,175408.90675354144
308,181095.77883032334
309,156018.62908364568
310,161822.8083046502
311,179319.59097559933
312,157107.25926959785
313,237453.3803088201
314,157795.72094785795
315,153958.2188808509
316,135253.4661517039
317,153418.34048104388
318,137933.54459742937
319,169624.92372938868
320,167580.22913380116
321,136639.41440891605
322,171081.47644936258
323,131931.4372137043
324,156744.30550939773
325,195185.87681881228
326,172254.00049808878
327,107754.01857652672
328,141062.12327333284
329,128149.633852673
330,256031.14899183874
331,195324.89120287742
332,158101.92617629454
333,151673.2306070046
334,164822.68478908608
335,129925.37701475744
336,172130.75892452593
337,152053.53904473348
338,130384.49440997794
339,139759.1042351992
340,174455.48300439384
341,169750.6804425882
342,197474.45455519392
343,160547.36306813578
344,155127.16800784486
345,159173.97140263874
346,192734.88589754366
347,146134.19227410608
348,146811.74572925115
349,172994.08006398883
350,156389.6635109725
351,156019.3163470925
352,158876.5130247232
353,135657.03753559213
354,97869.34125696993
355,126616.07796970349
356,170544.54905163514
357,198578.2310785444
358,151146.83505935178
359,120585.03082087617
360,152942.53114147403
361,171060.68918456972
362,107552.18485179702
363,171290.44806640843
364,161356.2791336444
365,150371.6205820953
366,145166.5453429347
367,178091.55873669832
368,173982.83389594685
369,189181.40534338125
370,177530.6642690343
371,184134.79813124592
372,178480.34394951374
373,152459.6157641125
374,190189.02368327873
375,182046.3652573242
376,135911.3969224701
377,152347.66375102612
378,119139.07870789258
379,166482.61037887845
380,165229.0240840762
381,141146.40324339012
382,176783.2244355159
383,139650.18367267065
384,178719.2445765131
385,174865.68249918477
386,203024.636444342
387,93359.2501289023
388,138088.45654756713
389,157428.0129623797
390,172429.18635732617
391,163629.5708842328
392,154871.51851289495
393,161692.7416179644
394,153317.15995168555
395,211518.00525173653
396,173489.0252325451
397,181579.39506552115
398,136739.61946708578
399,184175.367609706
400,135922.61852400628
401,263971.8271128387
402,254869.14148245545
403,255031.280638261
404,234548.20829544376
405,241279.84365602682
406,208967.2655788061
407,244730.450234955
408,187913.0688917049
409,197663.6279633071
410,211108.9863988181
411,170241.78156292756
412,223605.43601018118
413,161002.963847095
414,199037.4948542397
415,202165.92321063296
416,202399.21433423902
417,208582.81532839668
418,155151.30432969387
419,149971.81712532832
420,231736.70000951106
421,230915.00510447982
422,191436.69776448328
423,206685.05059928496
424,212795.67911342243
425,237461.91645182492
426,201893.6348539388
427,224590.2925571731
428,168230.89624229303
429,170594.63454934096
430,145817.70284450593
431,138216.9913863387
432,164246.8741590317
433,195846.87761081135
434,187947.61115384995
435,157777.93345068206
436,160121.02148995476
437,155427.7047878001
438,152294.27067588197
439,154193.36611183672
440,178085.07473737161
441,191214.48125578184
442,215035.00854639363
443,151359.5032923959
444,195836.01122832161
445,172722.88713690377
446,220404.66389081936
447,142395.24580350777
448,149486.7675087007
449,148042.28136952812
450,205093.6877675526
451,246147.5177839776
452,210198.44086767765
453,115515.3176386213
454,208547.93654641567
455,116804.04191506654
456,218522.84423433497
457,157478.31314010097
458,179159.69194310845
459,204099.28766645733
460,266920.89564165735
461,234264.35793048996
462,202440.9297807565
463,217740.44542392273
464,205933.84060853787
465,263949.9572083589
466,166363.63011635077
467,187846.75728767554
468,141476.71701067904
469,137712.85806263558
470,154380.7138969878
471,164015.46317870714
472,190700.6032644879
473,185317.84972732022
474,179263.2112926978
475,189980.63467567376
476,190886.3791131722
477,185841.42721634978
478,206675.737614738
479,180023.18300622792
480,185375.8675837459
481,194051.92860356832
482,179169.3645304047
483,247657.7443802155
484,249541.58475860022
485,200919.29620681683
486,223906.32090024746
487,212414.30841110813
488,219567.89048305512
489,190253.5162968786
490,256856.67857976316
491,231513.4369725582
492,195585.4544693971
493,204285.30183723388
494,163585.125427357
495,286964.9980293153
496,192561.90950540692
497,256169.24225717064
498,190353.3299383086
499,150199.00040728916
500,138800.13975589597
501,141613.8521291908
502,152788.29111093646
503,155038.4698599848
504,160884.7372576588
505,155119.84013654946
506,231913.69468473186
507,295419.59529307886
508,262968.027648937
509,294587.6170310137
510,301516.46011169447
511,265789.2996310399
512,216708.40982793775
513,245754.35933320483
514,313583.9640959721
515,232510.16597795792
516,295244.31644821883
517,281229.9330600358
518,246797.6408958686
519,191278.55609988552
520,254933.57932481114
521,191035.5980748301
522,188793.66266238203
523,171651.70574208142
524,200156.63750052257
525,197987.77297266523
526,169919.5467879738
527,174977.82620273335
528,188403.09114447015
529,207343.26112722428
530,196127.24560778678
531,219957.49729829872
532,172565.33439302657
533,226109.07864915245
534,183658.0225180536
535,258731.47081840635
536,247477.08428030042
537,267278.3304844095
538,221396.5461732028
539,261482.1083866268
540,232679.7884538376
541,213279.45752109095
542,225061.67388935995
543,225297.2708028644
544,197162.32991563776
545,194117.45351045617
546,225591.19559342446
547,190070.53642735974
548,184523.2617622619
549,193982.1090958091
550,166283.34879513236
551,169994.04340300706
552,183419.49800539322
553,196423.8772587897
554,191758.61932710742
555,190207.68567984758
556,195042.7473963703
557,145038.29772490272
558,150265.11448254384
559,146165.3206379013
560,139491.22758288818
561,202528.30940416383
562,173766.51783939896
563,255272.72941409991
564,293061.0930971122
565,172315.80951879968
566,156054.54329667482
567,164434.86189306775
568,171205.84697070238
569,214427.36704716546
570,193706.6640150727
571,193779.9367788854
572,206309.69082798052
573,164580.81115329126
574,210176.92242965807
575,188402.55714702373
576,189472.6613292141
577,206555.32809069462
578,171878.0374751937
579,295320.05018166127
580,209797.1770826694
581,201856.0714576545
582,196715.18745494043
583,217542.99318813448
584,201112.85597722806
585,201235.8322555372
586,173309.98495395028
587,152506.14068271246
588,211709.26522969163
589,185789.47988704543
590,119314.81553184215
591,167639.21861780254
592,169879.2690093846
593,124891.82976384749
594,193117.4506007892
595,149063.44243361484
596,161536.12024016236
597,227859.49021837162
598,174101.36763608837
599,195297.8362969304
600,213698.88490058048
601,164155.6577887773
602,138591.92643198904
603,172180.3763660974
604,153812.0892640959
605,197033.7254768561
606,146259.79077486077
607,216719.97690914726
608,111994.46709262364
609,150469.8338796707
610,131616.79732191912
611,191744.43896006685
612,160425.99072290256
613,174409.05488132965
614,175650.09448422168
615,149286.34287140716
616,170586.26433462775
617,150269.06924903824
618,169346.23787580154
619,146387.37846317622
620,160050.84299078007
621,202511.51947691393
622,174523.1203387992
623,138695.50304946542
624,158440.98736088854
625,134294.7456047616
626,161292.72997041894
627,163343.49854600086
628,124057.1390412364
629,159252.84692233618
630,167973.18012966492
631,180933.70841197597
632,177268.35896610547
633,142135.92102479422
634,180957.44102168162
635,123158.79884063441
636,141395.68146578662
637,186919.05623321916
638,107055.60116807838
639,148660.50516164707
640,180969.6235193723
641,163498.69177884966
642,129445.3404817847
643,207971.11716615406
644,161883.9675406337
645,148327.10640459575
646,237343.11362433684
647,156365.5892150932
648,150329.58780226487
649,160269.27929019852
650,172011.89789048463
651,183445.79806802046
652,149587.28790847378
653,149694.3017143232
654,180464.0340285251
655,146680.29909037295
656,182444.7440746082
657,156602.13779757902
658,143865.14253563713
659,146352.15591763737
660,148300.4406682424
661,157925.51493769113
662,105546.10841885152
663,193464.04228301608
664,201297.25686363372
665,190038.09649033332
666,200625.50686349123
667,171952.30983342053
668,134648.98220437195
669,175778.79865135995
670,188868.97701441622
671,162930.4750918419
672,157560.9843478036
673,157321.31680918566
674,131256.8416630258
675,143297.3985969172
676,153714.669066666
677,164409.49639619867
678,169840.3332164423
679,158547.8781773727
680,149231.71650407152
681,170444.52533025082
682,154869.61536523033
683,171913.94136505015
684,156445.87475433593
685,172039.770769083
686,201678.6143056637
687,162487.49494987886
688,164982.11494451502
689,205845.97682324273
690,143612.23095203802
691,194566.05275223154
692,210296.6968580563
693,138296.64191189953
694,167799.62713053313
695,260819.74087694494
696,227991.7005230098
697,215170.10383390178
698,195219.83134930825
699,168682.95984539858
700,221566.40003148603
701,301148.7146541618
702,246913.68959695115
703,217096.82590426953
704,186270.50131311236
705,164875.37883901494
706,207021.40284407072
707,203024.9409862247
708,190642.29475242013
709,195094.63498889524
710,170113.57075419722
711,170926.77462109207
712,170848.34041367366
713,229632.1092304254
714,232628.1721766205
715,241287.5651290392
716,227212.74830680533
717,201937.93250614995
718,155374.47644642967
719,233562.92040227147
720,192785.48864116313
721,215087.67614984312
722,188519.632771291
723,170979.0215487305
724,154903.4577234795
725,168621.3267110202
726,170976.87035162447
727,166278.34851461436
728,256805.70111716696
729,113692.67322011081
730,115937.4631352694
731,133725.44106965294
732,139129.00203320305
733,116277.23201101531
734,147756.75063046635
735,138217.75018524184
736,157323.1234314934
737,178206.89106140964
738,192037.47499794603
739,164365.99342269468
740,171054.6094089325
741,169947.29515976118
742,186312.13905753556
743,193686.9803404364
744,167409.3252047162
745,173086.0363056954
746,188800.34589831013
747,208939.26578482104
748,230717.93223086634
749,144751.27726399264
750,139813.75322785156
751,145539.87404754906
752,145934.77154278368
753,174395.81064241796
754,134255.5381953473
755,207395.1506637129
756,113304.50524809868
757,138017.3577566376
758,129178.85115325863
759,131354.74883994332
760,211862.222357729
761,211129.74597050255
762,260761.96885132938
763,211137.40428626744
764,162897.6557205312
765,225263.47168143987
766,199022.17084178983
767,217356.41159122172
768,205144.21969394808
769,159193.11922913676
770,190635.9815182298
771,201424.09208304298
772,199601.1703270781
773,207904.9325684701
774,214910.3119244037
775,229273.1539523508
776,272021.98145854176
777,201007.50798834304
778,154471.80175161271
779,178138.38587504855
780,192686.7467221355
781,162896.01211568055
782,158236.0350431703
783,141043.30414781158
784,135944.41424745854
785,169119.54995739227
786,137438.57388171257
787,147561.77027813045
788,142151.77807348836
789,152187.19615754628
790,198730.76456339782
791,214643.8363953519
792,153809.05511853695
793,177452.52507752876
794,198756.2066806945
795,175831.75613823716
796,220066.05168749747
797,171639.85254799688
798,191638.21356849532
799,182064.65029865445
800,174302.20337657924
801,181012.39703730142
802,253061.37850254154
803,338392.8983697112
804,208379.62617653783
805,216022.5265679754
806,302280.48138501437
807,255212.8266867415
808,176542.35403771212
809,190876.51761231694
810,213628.67241068612
811,219180.78252723932
812,184814.88566368746
813,201238.6159301344
814,201922.2499720224
815,188850.20102177456
816,202975.32852070834
817,181019.83290422382
818,143566.5758400825
819,153853.49617727182
820,184137.73223220278
821,191303.74077400932
822,156855.1871185446
823,154208.4536783228
824,157232.8821064719
825,156389.4766295684
826,246164.68351356036
827,231369.7794534941
828,265433.8900058034
829,302367.4275272529
830,249609.4137021242
831,273459.3690141816
832,308986.5026218039
833,288440.6838819716
834,314777.7380440046
835,246292.10191360355
836,228195.9640313761
837,250061.87190584073
838,301343.2333386424
839,265114.8699712194
840,220043.41811651326
841,227048.62396151977
842,224591.20337487292
843,216086.02429488767
844,190640.22318737474
845,191074.90890546332
846,198726.48901911854
847,205569.0831714962
848,222794.27071357268
849,188678.53399632545
850,193916.6590518134
851,186314.13050492897
852,179408.65063491513
853,175483.4317647919
854,176953.85507214125
855,183272.34478597835
856,183373.83004423682
857,178339.66884278448
858,173826.89330937716
859,175887.36708677217
860,200401.651355113
861,175352.07710347572
862,165503.96790398913
863,159087.24060270455
864,201404.3438255105
865,162496.54748871314
866,198302.43585390897
867,209440.09737934062
868,190151.23709281022
869,199063.1199101022
870,286358.48208652774
871,289098.45265232696
872,261587.7756118915
873,240047.85550512382
874,234813.08443105337
875,271923.1898600661
876,193859.37219732805
877,224853.4710730715
878,211254.699827178
879,277172.253650007
880,206535.2859181722
881,209916.71987637455
882,212250.5053139724
883,213344.38356319527
884,214877.43107373329
885,189608.49096515332
886,190621.08664956206
887,203591.19510247625
888,181344.83603192383
889,223145.0189080834
890,210773.7282450828
891,227969.42600751325
892,255458.9928338027
893,156999.88233599908
894,158147.85662597817
895,175637.09528676138
896,200391.08598961667
897,201237.77691097002
898,163776.9912714639
899,144944.43375230473
900,172330.23609260263
901,257694.8921087681
902,168394.9332894624
903,179617.32597828764
904,191815.72924661727
905,168773.35156130968
906,195635.55294846848
907,187529.88188592208
908,202343.05202309196
909,174435.12701193054
910,173912.21767869627
911,195384.06761070684
912,218457.27815962918
913,250150.4432816822
914,187267.91333954805
915,276713.8103659792
916,275096.42131212197
917,164188.53121969683
918,242770.93388497952
919,167078.19234683478
920,200893.91270422775
921,199769.9344238774
922,212012.7923434361
923,230208.98766595047
924,172810.67111864945
925,166010.02976850755
926,160282.36802501784
927,132207.96266317126
928,153906.30253293095
929,163002.5819266241
930,170415.93986808232
931,145461.5502586908
932,178658.4706469218
933,169507.52818533263
934,222786.09031882716
935,170667.8847183457
936,223412.3683591597
937,159402.03799599587
938,121784.30616505716
939,106270.52909423942
940,136156.57205948
941,172252.54221077586
942,204963.7836313092
943,169435.48505925134
944,191370.50632603667
945,153928.9257896708
946,157581.02242682513
947,175854.28551690196
948,166535.90771692552
949,205071.1739139427
950,150393.90022703615
951,189357.4195067634
952,170942.09636512928
953,159382.90163000397
954,205338.8319787999
955,155049.44987560253
956,141815.18340072775
957,141211.442870109
958,185123.5044697833
959,154157.14531527783
960,180547.57245769436
961,161159.2230972967
962,176551.75275265044
963,189779.48197395724
964,266595.96601654805
965,182515.38468542785
966,167047.30833619813
967,196019.6119900856
968,146981.8772784972
969,155265.28519595068
970,162947.49676871434
971,157644.93439633984
972,173197.6030320412
973,173378.08631334038
974,183068.8363080957
975,114290.5210593752
976,137591.06298200038
977,148675.3209984318
978,149799.6117913033
979,164959.58527558186
980,153979.71647052202
981,143674.3133462833
982,158157.21250445506
983,163366.2390951043
984,135066.78718426966
985,188657.00846876917
986,193014.8127861781
987,172821.82439043888
988,159510.61283014374
989,190688.66551136808
990,160952.34129995652
991,220056.6755814312
992,116928.67419640049
993,136680.33654174305
994,150171.06930144533
995,174295.96103108002
996,153047.49065035183
997,150389.05691097543
998,139109.8024040996
999,176812.834869178
1000,155027.39733051075
1001,170896.1535817526
1002,159752.88949902818
1003,218897.3535340634
1004,169518.93765362105
1005,165075.6166842656
1006,162757.08901166645
1007,142169.60740818552
1008,155790.3193310737
1009,221575.4655314747
1010,205449.69772075932
1011,219832.11449547275
1012,163097.50816045128
1013,171859.59617941282
1014,230652.59110562442
1015,156344.656843665
1016,160651.463445321
1017,197326.04278348948
1018,159008.1072673492
1019,153197.7718388808
1020,162742.9214691505
1021,153352.41323051872
1022,143923.60889008926
1023,160732.83655627153
1024,146995.39388777583
1025,173143.9143378656
1026,252619.44368770826
1027,159097.77006369803
1028,169610.04741369784
1029,167007.63497305007
1030,118923.32484335081
1031,185935.88557063785
1032,157929.23563717722
1033,197283.0319620692
1034,148653.3333470356
1035,239705.09548644474
1036,194424.76228696914
1037,145738.20493142796
1038,116565.39019759868
1039,150830.45105115118
1040,178854.26704210753
1041,180255.77466907966
1042,165955.3913390168
1043,191741.33047588728
1044,205419.8633382245
1045,232172.57426004251
1046,257252.57791378885
1047,232331.47545316114
1048,219042.57937888496
1049,208823.81890406497
1050,181622.94908449383
1051,202603.86045080432
1052,216585.31220684169
1053,196048.27790386876
1054,171191.2570736931
1055,171579.04758297585
1056,163767.49527002897
1057,173946.36165604656
1058,212332.4113577998
1059,205880.59968430692
1060,190929.12619838043
1061,212798.78040798442
1062,152572.55580585214
1063,165701.88065122874
1064,165371.50389674242
1065,169286.84198535397
1066,143889.34084156906
1067,145462.54567417313
1068,156573.44095195763
1069,147494.75015952523
1070,230320.54373080595
1071,210177.93515436072
1072,208556.15622533785
1073,217232.06187766287
1074,263490.262987181
1075,221520.90817593012
1076,204675.15690690294
1077,177089.975873262
1078,181009.29006287258
1079,182916.2967664407
1080,178574.27235146365
1081,177418.3517707289
1082,169241.1756732231
1083,154336.21918972678
1084,177443.86680529584
1085,180044.05221658558
1086,166051.0084163902
1087,181699.29008245486
1088,174854.60592938637
1089,519309.8412185894
1090,149332.78183543737
1091,143727.17950527402
1092,119935.78859867471
1093,163231.2547309804
1094,130912.66586382652
1095,136212.39061617514
1096,156337.44204721996
1097,239900.94732617357
1098,179589.31316091793
1099,158247.66795646164
