,SalePrice
0,119792.10722151349
1,159651.9105672247
2,176477.25154789558
3,192075.3962237972
4,218033.41589747943
5,165301.7679739497
6,172396.6082622904
7,156278.53212152774
8,196841.10462548243
9,124383.22133898063
10,163743.84876486825
11,103110.49818226512
12,97301.92039191947
13,146260.17958490332
14,98341.42187896368
15,367931.6176840272
16,263975.9265098969
17,310740.0633420447
18,308545.96465939854
19,467359.2182833052
20,321202.02265027154
21,217226.14694797553
22,168714.01810040805
23,170974.17890124457
24,201719.54653043728
25,191508.33429225322
26,321621.08520937955
27,226299.36589356067
28,195261.32453045892
29,239021.88412881395
30,208307.55200121368
31,111199.57861448752
32,223033.5199197289
33,283945.12712763506
34,274766.7229107567
35,227604.02921741284
36,170167.9610227051
37,180220.46048462475
38,168930.6167405323
39,159309.66262263744
40,178009.0733975184
41,136593.53469601917
42,281283.32978613547
43,233024.39196829157
44,220879.81194879228
45,187732.80551680745
46,236072.67357271796
47,201605.11577225509
48,158702.2397229149
49,151030.2803072893
50,147827.13662005155
51,164537.3288748764
52,174423.43679480473
53,151571.01228818987
54,198025.2389442144
55,160037.91379619113
56,158541.72353780808
57,111508.79183163264
58,198486.7984470818
59,128322.65145194522
60,122548.58945070414
61,188038.0724122773
62,103332.21396712298
63,124111.10076595334
64,113078.424058206
65,104052.66695863489
66,112063.73492169488
67,121522.29673867763
68,160428.60736045844
69,205358.33712399311
70,145626.4566602327
71,99536.12524019749
72,157017.64911320826
73,129100.51322684824
74,137321.45940477544
75,94656.87174125112
76,50253.47268673431
77,154146.3119449373
78,199135.81611770412
79,109950.80292267233
80,136905.53143926707
81,152294.2725105407
82,178393.00837431822
83,95742.44161081893
84,120517.20179792374
85,159033.11824891894
86,151553.40620421057
87,158404.6405514905
88,140780.85277089514
89,158748.9708796277
90,93599.39689108389
91,170316.42625286794
92,148939.12252849937
93,115088.8479277379
94,149224.05327283658
95,81083.71822008569
96,100220.96606959167
97,92972.71522401474
98,83111.11887861296
99,140611.1452676217
100,106674.80833671006
101,138181.01794478265
102,123276.62871059452
103,139742.93255089349
104,165188.56119927336
105,223091.2987055706
106,73264.469508526
107,216298.0190514055
108,136351.13277592327
109,132838.8242295748
110,74076.82871395655
111,131592.30086584293
112,249873.48217773405
113,131108.92166200306
114,237588.3878864357
115,239097.7169911978
116,188083.98470131514
117,155945.7191146183
118,142492.4711399954
119,191627.5778642456
120,166471.98423698414
121,141520.70421955062
122,267591.2014607078
123,217853.81325883474
124,131829.6185712328
125,55320.429411419405
126,124121.98927821821
127,145802.8567616125
128,105950.09914369255
129,119311.1109972512
130,87845.81275595268
131,103854.22783467962
132,138492.47568533217
133,154089.36003104752
134,124934.15484252459
135,217752.0993436275
136,205389.71303831416
137,227754.86027298038
138,187440.22504708302
139,172107.85924664946
140,49162.43499157138
141,131563.34525271037
142,105673.24947694401
143,269223.03143359616
144,225799.47625432312
145,165448.7542389563
146,145940.2118371525
147,212786.41778881007
148,186162.13385033343
149,155964.48866797492
150,131620.5317712036
151,180124.2426695111
152,165662.1430628172
153,138147.7513164491
154,100651.20593723058
155,77223.76947313946
156,88454.81025139391
157,131215.84126693048
158,167788.14988975486
159,169325.05307474945
160,128384.70583309673
161,162157.43283256012
162,258655.70795336316
163,200745.80190743474
164,103177.4265100412
165,161248.87048921638
166,180592.2384170943
167,279113.33701191924
168,183783.66615247625
169,338696.9621587298
170,263301.16457336
171,254340.81438146302
172,188082.88795387952
173,170882.22135072012
174,166488.2348340501
175,150647.05291702136
176,192397.7209789887
177,173226.48990206447
178,176076.90782603805
179,230566.80709360025
180,174719.08009945814
181,257277.35178226177
182,207749.35375868567
183,231828.20834204523
184,202915.35312740816
185,165984.32938304878
186,154963.30414928464
187,130260.53459165021
188,128299.14465251469
189,116312.27021762062
190,119713.3929806391
191,98883.05635299472
192,102227.92228366839
193,146076.8353050093
194,127119.17468757697
195,137302.41718270475
196,151870.0537535776
197,146799.10471130194
198,108775.46712898379
199,158718.30832678985
200,420849.2232703356
201,369027.60008061735
202,385607.0761353257
203,462343.3033120878
204,343375.1821766631
205,322836.23635091376
206,361462.339684263
207,372851.351468252
208,317783.5212605259
209,368004.3618888062
210,266578.79800436005
211,379726.8013858169
212,297937.33111110085
213,256603.2395636599
214,205874.5330524255
215,211762.43823829843
216,210647.10028932596
217,455554.13300367666
218,377476.15357348137
219,330817.0746857723
220,289526.8056703786
221,330443.2720229534
222,195100.18091132343
223,177141.3533007514
224,178381.11253097423
225,173065.52462839233
226,178338.83902112007
227,187212.9446439561
228,191912.37789152117
229,191275.48455194818
230,181715.81345587785
231,261166.0500430202
232,198484.9666705711
233,180823.54917819772
234,183180.06386702266
235,252522.7235885544
236,189184.32795187316
237,326174.5095760869
238,329720.12553198833
239,265718.07876165607
240,260920.39260629777
241,224649.63095016035
242,224591.53330677704
243,260804.03603619177
244,249553.88436053673
245,279646.2559079834
246,207429.21342076684
247,200000.73829828043
248,243629.01960960464
249,218571.3489022392
250,266143.49739359843
251,234313.14237163487
252,271281.29075625085
253,219511.1015683943
254,207010.1240054016
255,189713.41509532873
256,184655.42669710508
257,148349.9873763227
258,231410.9926014977
259,246278.50478051582
260,159215.77587655044
261,122382.99387747483
262,157826.6880527631
263,212659.00610063938
264,249112.2172444846
265,199535.30081618458
266,130719.54574327494
267,165808.7800713942
268,183320.88186898196
269,150846.91222337683
270,114555.85519669272
271,136737.83342777382
272,102050.95284442857
273,139011.8485483276
274,93091.94940470994
275,88845.13251149308
276,287877.91943335615
277,272226.01376691693
278,245822.54447799482
279,198508.82978926259
280,178445.99297128667
281,165545.49697236178
282,173511.80702169592
283,362810.6835151677
284,198800.59868183042
285,192756.4931989001
286,217649.31818360815
287,225975.4167161377
288,138609.98741397503
289,110658.18525419969
290,234198.16304054626
291,112560.18729457064
292,151974.14917454656
293,190828.199836603
294,167003.78191408262
295,146724.13038315767
296,125331.72782444916
297,154281.8966714065
298,156612.25357230703
299,155661.8167555507
300,133585.13607457958
301,189100.05233192866
302,199852.75338027914
303,115208.45075308738
304,157361.99340553724
305,197088.73177228295
306,205595.0359283839
307,134730.40444087403
308,166663.44174152656
309,151984.4387298393
310,128038.32173309321
311,133680.75917901532
312,124791.47353104243
313,141854.33031798646
314,139297.84781130895
315,142609.10411314756
316,107596.8253637864
317,139761.80152323793
318,123702.8792893406
319,162310.47869864022
320,119881.54336861373
321,74231.61652685297
322,146234.54829358935
323,89720.31914480214
324,130731.88544254602
325,140270.72856485852
326,164124.77140778213
327,34447.860036769445
328,99425.72015108887
329,76845.5596635959
330,192793.34200540333
331,151255.91089567516
332,139305.47204942224
333,162771.70234172491
334,135362.4717561816
335,162048.59396180508
336,120795.3293769148
337,122104.80926485514
338,111456.9637983469
339,127543.27940924242
340,129989.19922117112
341,117661.74910050034
342,153912.61823604364
343,111451.88531353793
344,129410.74948490891
345,117764.17807263849
346,140844.32316929658
347,126604.32029623262
348,137725.65540493504
349,139836.45789044778
350,80584.747252261
351,106182.33911922728
352,137768.2506844315
353,123370.09227690232
354,37138.6563639981
355,78245.8129532717
356,120251.20905911116
357,158792.3654653439
358,129916.23792427298
359,15183.033791533933
360,119834.97906830368
361,175952.748685313
362,37805.33244271137
363,142316.12188156848
364,163366.3943146907
365,102425.19457025253
366,102044.70875230667
367,132260.16052189688
368,138692.18908105683
369,158690.10984704338
370,136335.5037313821
371,60168.742627322354
372,151835.12341916424
373,103535.3297504978
374,101891.94108632763
375,122606.2521750436
376,81733.07527431016
377,121113.15050766632
378,126844.6665395509
379,164290.1764452152
380,112895.50323256981
381,101980.77716665549
382,133563.7686349666
383,167922.58679474136
384,156224.20196706013
385,168323.33980819603
386,168614.80784222178
387,52912.02038589385
388,103421.01147407448
389,110986.47234114885
390,132573.08988118378
391,114953.04080104534
392,101185.40076960492
393,168551.28293279823
394,188752.0289120285
395,224726.9469019914
396,138278.16856711588
397,151459.36256750507
398,122410.60725748158
399,149088.78234409788
400,120126.29167912781
401,306699.79444171325
402,290470.72102091124
403,290494.7129056207
404,364326.75247558276
405,357945.2684166111
406,222495.39458956404
407,278432.4268952644
408,210323.75401854867
409,224993.82772335425
410,270937.71346299234
411,179981.30486947214
412,236604.93470656194
413,126582.97392534281
414,174824.1130702656
415,198811.2473902201
416,205727.64868306855
417,202637.00414647636
418,139039.98377442601
419,124951.11042517601
420,247853.92075255016
421,236217.64847637
422,187602.63842722392
423,201019.83269898346
424,219002.3510466011
425,274836.60224656924
426,216896.8093350505
427,251673.0717382624
428,175227.65387571687
429,77717.73182862825
430,119118.21246552197
431,101694.60488732232
432,117542.13987793183
433,109257.70091960565
434,122535.77711686745
435,137719.82013123887
436,135146.80452206827
437,90963.42662727679
438,153821.34607223517
439,163198.49631464112
440,202862.60640534104
441,181270.27274009163
442,224539.6375309759
443,154766.46323993165
444,191444.07484493268
445,133263.70609905155
446,223137.3428147379
447,111207.63826787306
448,121442.0945363701
449,120102.97395546563
450,235796.124632502
451,301213.4906861647
452,161631.56120300273
453,48476.214563703135
454,346748.6577654801
455,49067.383719186444
456,226011.552522051
457,133488.1803152711
458,153503.27056691094
459,147867.41470418932
460,383892.1922587623
461,350309.280794804
462,218039.4927154015
463,231020.02883868784
464,192560.4226517783
465,376473.1981590367
466,127859.73340695663
467,178347.28671035523
468,116138.45672579113
469,136083.40215486943
470,122998.63045049206
471,119304.99733014402
472,218077.72671744463
473,180461.70203349538
