,SalePrice
0,163250.0
1,163250.0
2,163250.0
3,163250.0
4,163250.0
5,163250.0
6,163250.0
7,163250.0
8,163250.0
9,163250.0
10,163250.0
11,163250.0
12,163250.0
13,163250.0
14,163250.0
15,163250.0
16,163250.0
17,163250.0
18,163250.0
19,163250.0
20,163250.0
21,163250.0
22,163250.0
23,163250.0
24,163250.0
25,163250.0
26,163250.0
27,163250.0
28,163250.0
29,163250.0
30,163250.0
31,163250.0
32,163250.0
33,163250.0
34,163250.0
35,163250.0
36,163250.0
37,163250.0
38,163250.0
39,163250.0
40,163250.0
41,163250.0
42,163250.0
43,163250.0
44,163250.0
45,163250.0
46,163250.0
47,163250.0
48,163250.0
49,163250.0
50,163250.0
51,163250.0
52,163250.0
53,163250.0
54,163250.0
55,163250.0
56,163250.0
57,163250.0
58,163250.0
59,163250.0
60,163250.0
61,163250.0
62,163250.0
63,163250.0
64,163250.0
65,163250.0
66,163250.0
67,163250.0
68,163250.0
69,163250.0
70,163250.0
71,163250.0
72,163250.0
73,163250.0
74,163250.0
75,163250.0
76,163250.0
77,163250.0
78,163250.0
79,163250.0
80,163250.0
81,163250.0
82,163250.0
83,163250.0
84,163250.0
85,163250.0
86,163250.0
87,163250.0
88,163250.0
89,163250.0
90,163250.0
91,163250.0
92,163250.0
93,163250.0
94,163250.0
95,163250.0
96,163250.0
97,163250.0
98,163250.0
99,163250.0
100,163250.0
101,163250.0
102,163250.0
103,163250.0
104,163250.0
105,163250.0
106,163250.0
107,163250.0
108,163250.0
109,163250.0
110,163250.0
111,163250.0
112,163250.0
113,163250.0
114,163250.0
115,163250.0
116,163250.0
117,163250.0
118,163250.0
119,163250.0
120,163250.0
121,163250.0
122,163250.0
123,163250.0
124,163250.0
125,163250.0
126,163250.0
127,163250.0
128,163250.0
129,163250.0
130,163250.0
131,163250.0
132,163250.0
133,163250.0
134,163250.0
135,163250.0
136,163250.0
137,163250.0
138,163250.0
139,163250.0
140,163250.0
141,163250.0
142,163250.0
143,163250.0
144,163250.0
145,163250.0
146,163250.0
147,163250.0
148,163250.0
149,163250.0
150,163250.0
151,163250.0
152,163250.0
153,163250.0
154,163250.0
155,163250.0
156,163250.0
157,163250.0
158,163250.0
159,163250.0
160,163250.0
161,163250.0
162,163250.0
163,163250.0
164,163250.0
165,163250.0
166,163250.0
167,163250.0
168,163250.0
169,163250.0
170,163250.0
171,163250.0
172,163250.0
173,163250.0
174,163250.0
175,163250.0
176,163250.0
177,163250.0
178,163250.0
179,163250.0
180,163250.0
181,163250.0
182,163250.0
183,163250.0
184,163250.0
185,163250.0
186,163250.0
187,163250.0
188,163250.0
189,163250.0
190,163250.0
191,163250.0
192,163250.0
193,163250.0
194,163250.0
195,163250.0
196,163250.0
197,163250.0
198,163250.0
199,163250.0
200,163250.0
201,163250.0
202,163250.0
203,163250.0
204,163250.0
205,163250.0
206,163250.0
207,163250.0
208,163250.0
209,163250.0
210,163250.0
211,163250.0
212,163250.0
213,163250.0
214,163250.0
215,163250.0
216,163250.0
217,163250.0
218,163250.0
219,163250.0
220,163250.0
221,163250.0
222,163250.0
223,163250.0
224,163250.0
225,163250.0
226,163250.0
227,163250.0
228,163250.0
229,163250.0
230,163250.0
231,163250.0
232,163250.0
233,163250.0
234,163250.0
235,163250.0
236,163250.0
237,163250.0
238,163250.0
239,163250.0
240,163250.0
241,163250.0
242,163250.0
243,163250.0
244,163250.0
245,163250.0
246,163250.0
247,163250.0
248,163250.0
249,163250.0
250,163250.0
251,163250.0
252,163250.0
253,163250.0
254,163250.0
255,163250.0
256,163250.0
257,163250.0
258,163250.0
259,163250.0
260,163250.0
261,163250.0
262,163250.0
263,163250.0
264,163250.0
265,163250.0
266,163250.0
267,163250.0
268,163250.0
269,163250.0
270,163250.0
271,163250.0
272,163250.0
273,163250.0
274,163250.0
275,163250.0
276,163250.0
277,163250.0
278,163250.0
279,163250.0
280,163250.0
281,163250.0
282,163250.0
283,163250.0
284,163250.0
285,163250.0
286,163250.0
287,163250.0
288,163250.0
289,163250.0
290,163250.0
291,163250.0
292,163250.0
293,163250.0
294,163250.0
295,163250.0
296,163250.0
297,163250.0
298,163250.0
299,163250.0
300,163250.0
301,163250.0
302,163250.0
303,163250.0
304,163250.0
305,163250.0
306,163250.0
307,163250.0
308,163250.0
309,163250.0
310,163250.0
311,163250.0
312,163250.0
313,163250.0
314,163250.0
315,163250.0
316,163250.0
317,163250.0
318,163250.0
319,163250.0
320,163250.0
321,163250.0
322,163250.0
323,163250.0
324,163250.0
325,163250.0
326,163250.0
327,163250.0
328,163250.0
329,163250.0
330,163250.0
331,163250.0
332,163250.0
333,163250.0
334,163250.0
335,163250.0
336,163250.0
337,163250.0
338,163250.0
339,163250.0
340,163250.0
341,163250.0
342,163250.0
343,163250.0
344,163250.0
345,163250.0
346,163250.0
347,163250.0
348,163250.0
349,163250.0
