,SalePrice
0,145331.0495275656
1,153612.12035642788
2,190149.0830654998
3,191039.72843018512
4,170156.46413134114
5,175860.16293935463
6,173426.15543369416
7,160940.59610153624
8,176777.06539433444
9,137570.62611126597
10,185950.14548500764
11,121715.390167883
12,123412.83228966733
13,156882.47155852435
14,117511.43953414045
15,290044.631291919
16,230082.84247342093
17,240539.56378308206
18,239538.46867442495
19,437130.78767463355
20,288368.692713507
21,183669.7346153496
22,176009.49271700758
23,160763.52940566986
24,156149.2326896744
25,187593.10487210745
26,329141.17396574543
27,237214.75393109105
28,182613.7172569122
29,205222.50612023319
30,188275.26010947794
31,114699.79930444749
32,179577.44608678567
33,262757.1649294482
34,262268.93612861726
35,199611.86440543312
36,188700.1158108891
37,152405.26483332278
38,152212.68193601558
39,155198.8713462649
40,171890.37924666662
41,145017.42730002708
42,234406.32623847062
43,214005.85044172843
44,208275.32863082472
45,199465.70067115105
46,276293.7698277467
47,209381.9834598199
48,157299.9295507452
49,150552.1133431216
50,150449.07826368228
51,181472.35010151152
52,156478.2295980493
53,165051.02593309898
54,210977.39040383595
55,148082.71988950242
56,147812.1632160614
57,175688.85332793673
58,214931.80941699885
59,131866.35133433322
60,136544.2413996492
61,166555.1040276763
62,127982.5053479266
63,119858.14181996752
64,120024.8020431286
65,120567.80506318671
66,123875.4241239654
67,140246.5449040946
68,141904.67203779938
69,190109.44861938528
70,131303.53715201598
71,96172.99807246574
72,153821.95711287242
73,124500.0489924751
74,153042.59963194543
75,120762.40867915965
76,122771.62424655401
77,132508.32664434495
78,165284.84663970297
79,137794.64078187532
80,147531.17607094743
81,155032.10115462492
82,168419.87074191537
83,97924.62262468602
84,111015.22561850773
85,127087.78897283706
86,131622.8867095347
87,134882.19149142195
88,133587.51483644216
89,140988.8213629722
90,115760.56258117926
91,163924.03233082744
92,131796.83661217685
93,115170.1817614089
94,165977.94464261856
95,107165.51659554559
96,115027.59201928132
97,103422.3720540081
98,119424.62012704348
99,140082.89078490902
100,163770.98564764942
101,129556.34075887525
102,123010.66102843893
103,173100.96906278285
104,154253.4256649215
105,215026.39580365169
106,105141.92665664166
107,218589.90060821068
108,157846.92651334355
109,127535.70955055466
110,131750.4407782345
111,147704.5709945789
112,209682.05379247843
113,151023.75874727886
114,193256.78283647264
115,253219.9055957387
116,178995.1835686489
117,130865.92295457433
118,153586.33390553147
119,184251.88501162798
120,144763.22398859312
121,129179.17734261724
122,290177.1829785269
123,233952.75620961413
124,142544.00420012846
125,93757.8761290176
126,109853.07348453921
127,147994.51222151567
128,129811.58904001409
129,134963.47460759856
130,105010.9659531934
131,127782.97776452634
132,115225.04677433876
