,SalePrice
0,123654.3241862887
1,162423.87068196392
2,172019.17819082068
3,196969.80212399396
4,200374.1890666188
5,168590.79613406552
6,178892.4432015531
7,164040.73089228736
8,190024.0210931983
9,124578.43881584154
10,174425.54278666456
11,103185.81224901164
12,97079.77345740395
13,147279.75993979175
14,120898.00547751074
15,338324.8847642457
16,254376.5418084818
17,307577.6271028676
18,305802.34025188175
19,492071.64293396275
20,337611.22656608134
21,219804.47698090528
22,165416.25366638435
23,167914.78555919105
24,207564.0118917395
25,189670.81016298506
26,326734.39277947036
27,224615.1778139542
28,187725.9041561035
29,229912.90340289293
30,195495.16678900973
31,96702.66587379844
32,205875.60456401124
33,287503.5159391004
34,274080.9434452754
35,220276.45138096684
36,168235.09515198643
37,182612.32245634144
38,172715.99796338216
39,166354.51724524214
40,157729.50368966337
41,147790.11853950055
42,278430.5410707322
43,245325.25844167412
44,229283.81265631216
45,184596.7257096865
46,228918.54699966867
47,190475.4888299266
48,157974.76081281068
49,150187.81706662523
50,152336.7773242087
51,161534.15918922675
52,160748.92462736572
53,152937.7451869561
54,174528.9659303715
55,144161.36272377922
56,149801.4808240889
57,123997.64249322652
58,194136.14757224263
59,129331.43769815152
60,122261.00442989443
61,178343.18651288538
62,111615.32375532665
63,124631.34924969549
64,120854.5781404211
65,116176.41118165448
66,107965.76611148039
67,126486.79518929715
68,149072.97720445765
69,189881.73501838022
70,120012.67298639932
71,94773.3303180554
72,142357.9351051823
73,107660.45738941168
74,134977.12280270457
75,104981.33928133736
76,63956.836358581975
77,145061.13705306037
78,187518.33076290606
79,75466.40361564024
80,141007.9256657348
81,135326.23155160426
82,180289.70959738147
83,88436.96446582835
84,116157.20813162986
85,142727.1983350573
86,132598.9498468757
87,139539.25372367937
88,127453.59361546833
89,132615.46376671392
90,99538.07189178368
91,142562.9023708831
92,136562.34116793808
93,128154.68349784984
94,161048.0737379736
95,87914.7161316361
96,95001.29730976543
97,100433.79869305875
98,88221.44343592845
99,138471.13192655877
100,89316.43045070446
101,138621.0242076995
102,122557.33765614124
103,150263.34405442962
104,151547.57683595084
105,226028.6745900618
106,85944.27073917066
107,235130.04805300303
108,134024.5650220334
109,142459.79844069298
110,99419.68752037226
111,136711.76838038402
112,213366.60542692937
113,112135.37511203067
114,226033.64846363678
115,237024.6028214644
116,182992.9448200631
117,145099.31992434774
118,141776.83682477925
119,193256.62388629548
120,167224.921071659
121,137605.7396762741
122,281175.2940793754
123,216827.80221278203
124,136226.06480867436
125,70919.2152649234
126,128056.57888950629
127,147539.52292939584
128,96611.08480968411
129,132157.63916982082
130,93193.52729208565
131,101730.57397683656
132,128011.257217816
133,146956.17621739345
134,116287.23115347097
135,213819.68668868407
136,197351.91091901597
137,234602.8317170811
138,166083.08586990743
139,158883.3295285111
140,72513.62184646685
141,120329.2597810386
142,84657.9349816572
143,253724.9862461208
144,231908.72505388976
145,168227.44188416362
146,158787.7926672295
147,227063.24922442835
148,174176.02820399575
149,150400.39042315166
150,137574.10544426064
151,163086.3943712183
152,168366.66304593135
153,124792.62720721203
154,89161.09369547732
155,78517.62465281763
156,93603.96674265323
157,138956.93216996477
158,160982.99654822244
159,167896.5280844387
160,130198.9396920921
161,155144.56548944928
162,257977.07929169878
163,198767.3147302951
164,114488.07379682986
165,160674.36633787985
166,184303.72842473077
167,277543.9517628519
168,187844.5370715548
169,342479.16774606996
170,247726.4180168376
171,244211.80876817956
172,189432.03008340756
173,177492.44065222747
174,171995.80911526867
175,158751.64316396788
176,196988.67547733814
177,179271.36078224424
178,177172.8644512705
179,235666.34998739048
180,176147.67236762424
181,242760.8795665037
182,211712.32552562095
183,230579.03052743437
184,200208.79618299732
185,163899.99882987243
186,155907.8532961738
187,125895.09535484266
188,138584.1139631244
189,119544.49294827077
190,124570.8037664094
191,100896.40974872338
192,102150.93456590593
193,145152.75733598447
194,141643.097278482
195,141695.35062549743
196,146995.93995659778
197,146625.26892965494
198,123420.63341052263
199,159833.30967782723
200,424465.3809704108
201,393673.95032049855
202,378172.3244785473
203,500166.12327988545
204,315363.5008531754
205,325877.7373005885
206,386170.34911525605
207,345532.16228813404
208,317225.66338216094
209,343505.2818281891
210,273848.4338502643
211,402858.66300568165
212,301087.6003068049
213,255326.36302479642
214,203600.09878950412
215,204879.93353813008
216,214711.25840392054
217,458307.84994491615
218,382193.771370664
219,306942.2375607119
220,244805.0118629735
221,333766.19086835964
222,194035.43749311296
223,180148.42719224902
224,176864.51456644727
225,179595.16316046563
226,183368.76654353848
227,186343.89995160393
228,192975.96826524648
229,200088.7999372514
230,191000.14540928626
231,253425.16613164116
232,184090.60430418013
233,186547.10018540977
234,177794.34638749613
235,269634.0457747572
236,185518.32810028864
237,322475.5594281877
238,350468.0956687536
239,260109.65145245165
240,251873.63050912382
241,229708.89150469334
242,237511.7418440913
243,265182.51668428484
244,245256.85453060118
245,257507.39814232162
246,190306.6267654284
247,198947.071770361
248,258780.07167781363
249,225478.9822137794
250,268546.9642071982
251,234862.6874626955
252,261733.12684767044
253,221618.46522682896
254,202245.13417538066
255,185263.35617603833
256,188413.73415190369
257,137968.12368922454
258,198973.49812463138
259,221418.98701376357
260,161747.43424306565
261,121131.78796756618
262,156362.10080776777
263,201674.46560294405
264,250842.3428696592
265,192763.98445613254
266,145540.55494266734
267,170063.68417701893
268,174483.087948774
269,150144.67660731182
270,116406.88821864732
271,138702.682396847
272,109312.71186453864
273,139482.77590060738
274,115543.07964302695
275,103687.18072433857
276,292203.3228540669
277,252793.63526098293
278,235630.20318783267
279,202418.22914369128
280,187370.06119020376
281,157914.67472931373
282,169494.50288651884
283,335022.27319841966
284,193302.1665490159
285,188206.7798338965
286,210101.39384771418
287,224264.14697337072
288,141711.927619611
289,119369.65782857934
290,242239.89024679625
291,120576.32191207114
292,139715.67642772643
293,188628.8289239809
294,156888.39915949965
295,136847.33759112225
296,124572.36035430513
297,152301.91951812955
298,150405.16099228337
299,158870.2397789885
300,129931.61701783718
301,184292.8200985078
302,182474.07164436244
303,121416.81318067622
304,137233.67505753154
305,194292.15849276213
306,200195.1344966971
307,137714.6519080485
308,171065.8182890008
309,151671.45564229658
310,123177.26482821033
311,131264.14573430264
312,129573.93295366556
313,140539.17078450855
314,142694.07234927497
315,139009.72996356798
316,104923.53728326819
317,131935.42062058867
318,126565.54318962574
319,167444.5361764109
320,122928.39165529926
321,95608.3470597037
322,146952.1800861333
323,113331.4772930235
324,114446.58628178846
325,163926.5599469231
326,162029.61680570946
327,63280.72876414526
328,100689.83239168758
329,89942.18038397952
330,187070.78794469088
331,144091.0943877704
332,128895.72056607546
333,146467.92839215652
334,136182.0328530453
335,144751.42898698876
336,114136.36121263517
337,119725.96407352088
338,115445.81482809811
339,128103.22921608013
340,122022.6457406486
341,125076.54683139999
342,140550.35474796774
343,132086.53830994558
344,132065.9602920983
345,118340.95615749467
346,135526.4530038225
347,114450.50671468764
348,119341.95505501555
349,146502.42325291093
350,83319.01332765423
351,100728.53664330691
352,127276.85190823322
353,115957.45541142928
354,58624.779573078136
355,90052.78890830197
356,122048.86256628028
357,148170.19924958
358,137424.8272985365
359,56753.30057903029
360,104826.86325662865
361,166454.12701231847
362,52880.97983111001
363,122995.54387751396
364,152295.3307945179
365,111460.08059158109
366,95037.29810017203
367,126729.98660927649
368,110782.91874592789
369,148826.15665505204
370,137237.27260030218
371,76959.57884314511
372,147788.5907626366
373,118275.57428505337
374,111135.05555264693
375,115306.61792297645
376,89241.34856515445
377,131383.66672565843
378,121465.02482605145
379,150705.30862914212
380,123817.43604517062
381,99903.37882569814
382,131519.55593474477
383,164117.59336048918
384,153727.47866277525
385,158176.28625868066
386,171333.8587668888
387,67076.62581964633
388,98473.30658969436
389,121952.48805066347
390,132734.7215282303
391,125701.67234154111
392,120420.29951119825
393,162888.7775011694
394,181073.0940390331
395,233833.10237046916
396,126822.69275912645
397,148439.24753321277
398,124606.71798102668
399,150314.55736979112
400,122223.69274852333
401,348140.0752749115
402,326141.72407303477
403,326169.20810069505
404,323143.5994193025
405,332376.11503851827
406,231482.86096314696
407,277183.6395308252
408,208280.1112857017
409,220829.08190421152
410,260575.66694310406
411,175007.37800657703
412,242625.96910097095
413,139766.5484082892
414,189053.02142406628
415,198925.73023696206
416,204380.8926211264
417,200031.5403721093
418,136255.6006670899
419,126905.95695709014
420,247032.08832192025
421,237167.61717084714
422,179640.13829658407
423,196283.29249357077
424,217361.9809706422
425,271092.9580624609
426,213936.6784416701
427,253370.41393634788
428,168492.41609671427
429,103696.270369228
430,122202.03361740574
431,100549.22801928545
432,132657.6629930861
433,117430.27975485
434,125652.58493615426
435,133073.3795044543
436,126618.98797853761
