,LotArea
0,10897.991769547325
1,16212.108108108108
2,15989.08866995074
3,15338.649214659687
4,13933.006880733945
5,12017.32326283988
6,16212.108108108108
7,12017.32326283988
8,13922.599025974027
9,14810.085714285715
10,15721.71505376344
11,12017.32326283988
12,10501.142514970059
13,11313.916230366493
14,11208.596666666666
15,14810.085714285715
16,13922.599025974027
17,16212.108108108108
18,13922.599025974027
19,27892.28729281768
20,16212.108108108108
21,12017.32326283988
22,13933.006880733945
23,12017.32326283988
24,12017.32326283988
25,12017.32326283988
26,17327.10769230769
27,12990.38785046729
28,11313.916230366493
29,12017.32326283988
30,12017.32326283988
31,11251.22077922078
32,16212.108108108108
33,14810.085714285715
34,16165.936339522546
35,12990.38785046729
36,10501.142514970059
37,10501.142514970059
38,10501.142514970059
39,10501.142514970059
40,10897.991769547325
41,11251.22077922078
42,12990.38785046729
43,13922.599025974027
44,15338.649214659687
45,13933.006880733945
46,16254.867276887871
47,13933.006880733945
48,12017.32326283988
49,12990.38785046729
50,13922.599025974027
51,12990.38785046729
52,14810.085714285715
53,15721.71505376344
54,15338.649214659687
55,12017.32326283988
56,16212.108108108108
57,12990.38785046729
58,16212.108108108108
59,13933.006880733945
60,13933.006880733945
61,15338.649214659687
62,11251.22077922078
63,12017.32326283988
64,12990.38785046729
65,11313.916230366493
66,11208.596666666666
67,13922.599025974027
68,14810.085714285715
69,16212.108108108108
70,12970.332352941177
71,10897.991769547325
72,12990.38785046729
73,10847.290584415585
74,11251.22077922078
75,12017.32326283988
76,10847.290584415585
77,11208.596666666666
78,12017.32326283988
79,13922.599025974027
80,10897.991769547325
81,11208.596666666666
82,16212.108108108108
83,10847.290584415585
84,10847.290584415585
85,10847.290584415585
86,10847.290584415585
87,12970.332352941177
88,12017.32326283988
89,10897.991769547325
90,12017.32326283988
91,10897.991769547325
92,12970.332352941177
93,10847.290584415585
94,17918.69298245614
95,16212.108108108108
96,13922.599025974027
97,13530.028169014084
98,11313.916230366493
99,12017.32326283988
100,15338.649214659687
101,11251.22077922078
102,13933.006880733945
103,15989.08866995074
104,13922.599025974027
105,30886.324384787473
106,12017.32326283988
107,27892.28729281768
108,12990.38785046729
109,12017.32326283988
110,13922.599025974027
111,16165.936339522546
112,14039.333333333334
113,15721.71505376344
114,16254.867276887871
115,15989.08866995074
116,12017.32326283988
117,12990.38785046729
118,12017.32326283988
119,12017.32326283988
120,14810.085714285715
121,12017.32326283988
122,15721.71505376344
123,13933.006880733945
124,11251.22077922078
125,11251.22077922078
126,11313.916230366493
127,17918.69298245614
128,11313.916230366493
129,12017.32326283988
130,12990.38785046729
131,13922.599025974027
132,12017.32326283988
133,12990.38785046729
134,11251.22077922078
135,15721.71505376344
136,12990.38785046729
137,12990.38785046729
138,12990.38785046729
139,12990.38785046729
140,10897.991769547325
141,12017.32326283988
142,11251.22077922078
143,15301.029569892473
144,12017.32326283988
145,16165.936339522546
146,14810.085714285715
147,13922.599025974027
148,12017.32326283988
149,12017.32326283988
150,13933.006880733945
151,12017.32326283988
152,15721.71505376344
153,13922.599025974027
154,12970.332352941177
155,10501.142514970059
156,10501.142514970059
157,11251.22077922078
158,13922.599025974027
159,15721.71505376344
160,11251.22077922078
161,14810.085714285715
162,16212.108108108108
163,12990.38785046729
164,12017.32326283988
165,12990.38785046729
166,15989.08866995074
167,13922.599025974027
168,11251.22077922078
169,16212.108108108108
170,12990.38785046729
171,13933.006880733945
172,14810.085714285715
173,11251.22077922078
174,12990.38785046729
175,12017.32326283988
176,12970.332352941177
177,13933.006880733945
178,15721.71505376344
179,15301.029569892473
180,12990.38785046729
181,11208.596666666666
182,12017.32326283988
183,12990.38785046729
184,15989.08866995074
185,12990.38785046729
186,13933.006880733945
187,12990.38785046729
188,12017.32326283988
189,14810.085714285715
190,13922.599025974027
191,10501.142514970059
192,10501.142514970059
193,11251.22077922078
194,12017.32326283988
195,11251.22077922078
196,11251.22077922078
197,11251.22077922078
198,11208.596666666666
199,12990.38785046729
200,18297.91089108911
201,14810.085714285715
202,15721.71505376344
203,17179.01072386059
204,16165.936339522546
205,16212.108108108108
206,16212.108108108108
207,15989.08866995074
208,15989.08866995074
209,17327.10769230769
210,15301.029569892473
211,17417.056886227543
