,LotArea
0,7808.0
1,12605.9
2,10222.4
3,9263.3
4,5363.4
5,9746.3
6,12578.3
7,11043.7
8,11871.8
9,12210.9
10,3426.7
11,2216.3
12,2193.3
13,9171.7
14,9431.3
15,11906.8
16,11974.8
17,11739.9
18,11442.4
19,16529.4
20,12715.3
21,5705.8
22,13059.3
23,3569.2
24,10577.8
25,9571.2
26,19063.3
27,10103.3
28,9201.6
29,8789.3
30,9944.5
31,7067.1
32,14048.9
33,11699.2
34,11600.5
35,4819.2
36,3765.2
37,3084.2
38,2610.3
39,2530.7
40,4361.7
41,5568.4
42,9122.4
43,9990.9
44,10271.3
45,13082.4
46,10655.5
47,12575.2
48,11101.8
49,11866.3
50,12616.0
51,10822.4
52,11785.1
53,12380.8
54,11020.7
55,11702.8
56,12147.3
57,11628.7
58,11154.7
59,11209.7
60,12681.5
61,11718.7
62,9124.6
63,9736.8
64,24287.8
65,12620.6
66,9366.0
67,9334.6
68,12218.0
69,11148.1
70,8371.7
71,9650.2
72,8216.2
73,6858.7
74,8007.8
75,7142.9
76,6923.6
77,8145.4
78,7757.6
79,8181.9
80,8960.9
81,6757.0
82,12004.3
83,6895.2
84,6572.8
85,6821.6
86,6952.6
87,9708.2
88,8148.4
89,7876.9
90,8211.2
91,9522.3
92,7163.5
93,6160.9
94,17493.5
95,18257.2
96,9230.7
97,9287.4
98,7194.4
99,8217.6
100,10422.2
101,10214.6
102,9951.7
103,11294.5
104,11455.2
105,30526.2
106,12336.9
107,23048.3
108,16068.1
109,8875.3
110,7766.9
111,11802.5
112,9638.6
113,15970.0
114,11331.3
115,14293.4
116,10131.8
117,12176.7
118,11522.1
119,10832.3
120,9815.4
121,9297.0
122,11338.0
123,10362.8
124,4838.4
125,9397.8
126,9810.8
127,12856.9
128,15970.7
129,15317.1
130,10482.5
131,9194.8
132,9908.8
133,10413.6
134,7362.2
135,13083.6
136,10567.2
137,11969.1
138,3867.6
139,4172.4
140,7489.5
141,7249.5
142,7902.7
143,6080.7
144,10741.5
145,11358.7
146,12268.3
147,12302.9
148,11353.9
149,10685.4
150,12375.2
151,11422.8
152,11410.7
153,4128.2
154,2296.0
155,2403.6
156,2305.8
157,8766.7
158,12315.0
159,10462.1
160,11184.7
161,11516.1
162,12136.0
163,9900.9
164,11294.1
165,10602.0
166,10404.1
167,10570.9
