,LotArea
0,7630.0
1,26142.0
2,11207.0
3,8121.0
4,26142.0
5,18800.0
6,26142.0
7,17104.0
8,10200.0
9,10083.0
10,2572.0
11,1680.0
12,1680.0
13,2628.0
14,3182.0
15,10991.0
16,11932.0
17,14601.0
18,9453.0
19,23257.0
20,16033.0
21,26142.0
22,11175.0
23,3182.0
24,26142.0
25,8366.0
26,16770.0
27,10083.0
28,7862.0
29,7060.0
30,13695.0
31,6000.0
32,7472.0
33,10200.0
34,10200.0
35,2572.0
36,3604.0
37,3180.0
38,2544.0
39,2544.0
40,2117.0
41,2651.0
42,6000.0
43,8791.0
44,7060.0
45,18890.0
46,10000.0
47,10784.0
48,10000.0
49,9672.0
50,11175.0
51,11851.0
52,16321.0
53,16033.0
54,9042.0
55,19296.0
56,26142.0
57,9135.0
58,9100.0
59,26142.0
60,11175.0
61,9492.0
62,7585.0
63,7227.0
64,34650.0
65,8176.0
66,10200.0
67,10134.0
68,26142.0
69,8314.0
70,10120.0
71,5100.0
72,8960.0
73,5586.0
74,7200.0
75,6000.0
76,6000.0
77,8765.0
78,7082.0
79,6270.0
80,6000.0
81,8263.0
82,13758.0
83,6882.0
84,6060.0
85,11040.0
86,6000.0
87,9000.0
88,8520.0
89,8263.0
90,5587.0
91,2500.0
92,3950.0
93,3950.0
94,10708.0
95,12205.0
96,10800.0
97,26142.0
98,10120.0
99,9000.0
100,7851.0
101,7200.0
102,9340.0
103,26142.0
104,13600.0
105,13500.0
106,11782.0
107,8816.0
108,19138.0
109,6762.0
110,8400.0
111,9360.0
112,13869.0
113,26142.0
114,11423.0
115,10182.0
116,7227.0
117,16157.0
118,10215.0
119,8121.0
120,26142.0
121,8400.0
122,9430.0
123,10140.0
124,4435.0
125,8877.0
126,8877.0
127,26142.0
128,11175.0
129,32463.0
130,6600.0
131,9042.0
132,9042.0
133,5250.0
134,8172.0
135,17043.0
136,12168.0
137,10625.0
138,3842.0
139,4058.0
140,6120.0
141,8520.0
142,9000.0
143,3842.0
144,17217.0
145,7851.0
146,11170.0
147,11475.0
148,10083.0
149,8400.0
150,17217.0
151,17217.0
152,9135.0
153,3842.0
154,1680.0
155,1680.0
156,1300.0
157,9000.0
158,8314.0
159,9100.0
160,9000.0
161,11988.0
162,11423.0
163,9100.0
164,26142.0
165,9150.0
166,10991.0
167,8068.0
168,8775.0
169,8123.0
170,8990.0
171,8123.0
172,26142.0
173,9340.0
174,18800.0
175,6762.0
176,10768.0
177,11414.0
178,9760.0
179,12886.0
180,9965.0
181,8400.0
182,11426.0
183,8640.0
184,17043.0
185,10000.0
186,11249.0
187,26142.0
188,26142.0
189,9340.0
190,9000.0
191,1680.0
192,1491.0
193,2628.0
194,3182.0
195,2628.0
196,2628.0
197,2628.0
198,3182.0
199,13695.0
200,13560.0
201,13005.0
202,12474.0
203,13693.0
204,12030.0
205,13560.0
206,20431.0
207,11146.0
208,9453.0
209,16033.0
210,11275.0
211,13560.0
212,14598.0
213,10141.0
214,26142.0
215,26142.0
216,26142.0
217,13472.0
218,13560.0
219,7711.0
220,6240.0
221,13560.0
222,6240.0
223,10267.0
224,17104.0
225,3182.0
226,26142.0
227,9313.0
228,8244.0
229,8121.0
230,26142.0
231,8068.0
232,26142.0
233,8366.0
234,10200.0
235,21930.0
236,17104.0
237,10625.0
238,9017.0
239,9200.0
240,9179.0
241,11146.0
242,9262.0
243,11146.0
244,9017.0
245,11670.0
246,11639.0
247,7500.0
248,11143.0
249,11143.0
250,10574.0
251,11426.0
252,7060.0
253,7500.0
254,8198.0
255,9849.0
256,7314.0
257,10434.0
258,13825.0
259,8121.0
260,7227.0
261,10434.0
262,7200.0
263,8500.0
264,8924.0
265,9100.0
266,6240.0
267,8400.0
268,26142.0
269,10634.0
270,26142.0
271,26142.0
272,26142.0
273,26142.0
274,26142.0
275,9000.0
276,11170.0
277,9375.0
278,3363.0
279,11426.0
280,7500.0
281,3604.0
282,3735.0
283,11170.0
284,11457.0
285,10400.0
286,16647.0
287,8400.0
288,9675.0
289,9492.0
290,10171.0
291,9000.0
292,9262.0
293,9473.0
294,9130.0
295,9340.0
296,15576.0
297,26142.0
298,12925.0
299,10625.0
300,19296.0
301,12046.0
302,14774.0
303,8400.0
304,10994.0
305,14536.0
306,16635.0
307,5868.0
308,26142.0
309,26142.0
310,5868.0
311,8400.0
312,10400.0
313,8400.0
314,26142.0
315,10152.0
316,9600.0
317,6762.0
318,10140.0
319,17503.0
320,10800.0
321,6342.0
322,8633.0
323,9600.0
324,8248.0
325,9600.0
326,10592.0
327,10012.0
328,8248.0
329,10200.0
330,10125.0
331,8480.0
332,26142.0
333,6762.0
334,11175.0
335,26142.0
336,9060.0
337,10500.0
338,8212.0
339,9492.0
340,7585.0
341,10410.0
342,10140.0
343,26142.0
344,8816.0
345,3950.0
346,10120.0
347,13710.0
348,10207.0
349,11040.0
350,8850.0
351,3950.0
352,8235.0
353,8967.0
354,7200.0
355,6000.0
356,6000.0
357,8850.0
358,10440.0
359,5310.0
360,5586.0
361,8960.0
362,4270.0
363,8854.0
364,10410.0
365,2117.0
366,6060.0
367,6882.0
368,9000.0
369,2500.0
370,2500.0
371,11700.0
372,8850.0
373,4500.0
374,6300.0
375,5000.0
376,10207.0
377,9000.0
378,26142.0
379,10800.0
380,26142.0
381,10410.0
382,9937.0
383,26142.0
384,10991.0
385,27650.0
386,12205.0
387,8521.0
388,26142.0
389,10152.0
390,7200.0
391,10800.0
392,3182.0
393,26142.0
394,26142.0
395,10182.0
396,13728.0
397,7018.0
398,7018.0
399,6762.0
400,7018.0
401,7750.0
402,7750.0
403,7750.0
404,11146.0
405,8123.0
406,9135.0
407,9179.0
408,6762.0
409,10402.0
410,10206.0
411,17104.0
412,8816.0
413,9340.0
414,16196.0
415,8400.0
416,8123.0
417,12420.0
418,26142.0
419,26142.0
420,11851.0
421,8068.0
422,9100.0
423,9100.0
424,11248.0
425,13284.0
426,11885.0
427,13173.0
428,14774.0
429,9937.0
430,3675.0
431,9000.0
432,7931.0
433,9297.0
434,9170.0
435,10410.0
436,4500.0
437,3182.0
438,6600.0
439,10918.0
440,10410.0
441,26142.0
442,11888.0
443,11616.0
444,27650.0
445,12168.0
446,12919.0
447,1533.0
448,1300.0
449,1533.0
450,14803.0
451,21000.0
452,8520.0
453,4270.0
454,3842.0
455,4118.0
456,9965.0
457,9600.0
458,10083.0
459,8480.0
460,23257.0
461,9017.0
462,14006.0
463,13560.0
464,14006.0
465,11443.0
466,26142.0
467,26142.0
468,26142.0
469,7200.0
470,10083.0
471,9000.0
472,11170.0
473,8121.0
474,10482.0
475,8924.0
476,13869.0
477,26142.0
478,8123.0
479,26142.0
480,11207.0
481,8000.0
482,26142.0
483,11924.0
484,8123.0
485,15498.0
486,7313.0
487,14778.0
488,20544.0
489,26142.0
490,14778.0
491,10994.0
492,11249.0
493,9849.0
494,9525.0
495,17423.0
496,10400.0
497,9303.0
498,9000.0
499,8814.0
500,9340.0
501,1680.0
502,1300.0
503,1680.0
504,2628.0
505,3182.0
506,11932.0
507,12919.0
508,13478.0
509,16033.0
510,11924.0
511,11924.0
512,7750.0
513,11924.0
514,13693.0
515,12803.0
516,13474.0
517,13474.0
518,7711.0
519,13474.0
520,11443.0
521,7892.0
522,7892.0
523,2628.0
524,3196.0
525,4426.0
526,6762.0
527,9017.0
528,8530.0
529,8068.0
530,26142.0
531,8121.0
532,9735.0
533,8123.0
534,8755.0
535,11700.0
536,11050.0
537,13501.0
538,12244.0
539,10171.0
540,10182.0
541,15256.0
542,9375.0
543,9965.0
544,11361.0
545,7500.0
546,11639.0
547,7500.0
548,9100.0
549,13695.0
550,10434.0
551,10400.0
552,17104.0
553,8924.0
554,13869.0
555,8320.0
556,9965.0
557,11200.0
558,9480.0
559,7200.0
560,8212.0
561,12244.0
562,11616.0
563,9179.0
564,13693.0
565,4058.0
566,3180.0
567,3363.0
568,2160.0
569,4435.0
570,4435.0
571,4230.0
572,4274.0
573,2160.0
574,9803.0
575,2160.0
576,2160.0
577,3604.0
578,26142.0
579,14778.0
580,12182.0
581,10300.0
582,20544.0
583,12376.0
584,16647.0
585,9600.0
586,9000.0
587,9340.0
588,13101.0
589,12886.0
590,26142.0
591,11175.0
592,26142.0
593,26142.0
594,9600.0
595,9600.0
596,7943.0
597,10175.0
598,7763.0
599,9600.0
600,9150.0
601,9492.0
602,7314.0
603,10625.0
604,25095.0
605,12376.0
606,9000.0
607,11070.0
608,7200.0
609,10134.0
610,13053.0
611,6000.0
612,26142.0
613,26142.0
614,26142.0
615,9000.0
616,7500.0
617,9920.0
618,10134.0
619,6342.0
620,10930.0
621,13728.0
622,9060.0
623,6342.0
624,10150.0
625,10800.0
626,8960.0
627,6270.0
628,6000.0
629,6000.0
630,3950.0
631,6000.0
632,6270.0
633,5586.0
634,8960.0
635,5310.0
636,4058.0
637,13710.0
638,8520.0
639,7407.0
640,9000.0
641,9000.0
642,7200.0
643,8930.0
644,3950.0
645,6000.0
646,11426.0
647,2117.0
648,7200.0
649,26142.0
650,8635.0
651,9735.0
652,6000.0
653,6120.0
654,8635.0
655,6380.0
656,5790.0
657,6000.0
658,8635.0
659,8520.0
660,10207.0
661,8520.0
662,6240.0
663,10120.0
664,10120.0
665,8633.0
666,10896.0
667,5310.0
668,9000.0
669,5890.0
670,11426.0
671,8960.0
672,6000.0
673,8263.0
674,7200.0
675,5600.0
676,9849.0
677,7763.0
678,9492.0
679,26142.0
680,26142.0
681,26142.0
682,26142.0
683,10800.0
684,11782.0
685,11782.0
686,13500.0
687,10592.0
688,11200.0
689,10029.0
690,10930.0
691,12244.0
692,9170.0
693,32463.0
694,10482.0
695,21930.0
696,13284.0
697,21930.0
698,10991.0
699,26142.0
700,8123.0
701,11443.0
702,11443.0
703,13869.0
704,10005.0
705,9340.0
706,9819.0
707,9179.0
708,17104.0
709,9179.0
710,26142.0
711,26142.0
712,7472.0
713,9375.0
714,8530.0
715,13869.0
716,21930.0
717,10991.0
718,4438.0
719,7060.0
720,10206.0
721,11851.0
722,9135.0
723,9492.0
724,10482.0
725,11664.0
726,26142.0
727,7844.0
728,21535.0
729,7350.0
730,9735.0
731,7200.0
732,10592.0
733,8405.0
734,9900.0
735,10200.0
736,9000.0
737,9297.0
738,9340.0
739,7056.0
740,9900.0
741,7875.0
742,14778.0
743,11888.0
744,26142.0
745,26142.0
746,12244.0
747,8000.0
748,16157.0
749,1300.0
750,6060.0
751,6000.0
752,6130.0
753,7630.0
754,10800.0
755,13710.0
756,6270.0
757,4270.0
758,4270.0
759,4270.0
760,3842.0
761,3842.0
762,13869.0
763,9100.0
764,10634.0
765,11423.0
766,20544.0
767,9017.0
768,11308.0
769,9735.0
770,9017.0
771,26178.0
772,10625.0
773,9017.0
774,9179.0
775,8121.0
776,11443.0
777,7060.0
778,10140.0
779,4500.0
780,13474.0
781,7500.0
782,4058.0
783,2217.0
784,2217.0
785,26142.0
786,1680.0
787,9000.0
788,7200.0
789,9000.0
790,10120.0
791,10175.0
792,26142.0
793,9636.0
794,11207.0
795,7875.0
796,8172.0
797,26142.0
798,10784.0
799,11512.0
800,26142.0
801,26142.0
802,11924.0
803,17423.0
804,14572.0
805,8123.0
806,14303.0
807,10171.0
808,26142.0
809,8400.0
810,14536.0
811,11880.0
812,9880.0
813,9492.0
814,19296.0
815,26142.0
816,9120.0
817,9340.0
818,8750.0
819,8750.0
820,4058.0
821,2645.0
822,2001.0
823,2001.0
824,4920.0
825,9340.0
826,15865.0
827,11146.0
828,11457.0
829,13693.0
830,13474.0
831,13693.0
832,13693.0
833,13474.0
834,13869.0
835,11911.0
836,8530.0
837,12474.0
838,13478.0
839,13474.0
840,11050.0
841,9179.0
842,8121.0
843,13825.0
844,5063.0
845,5063.0
846,26142.0
847,3182.0
848,8123.0
849,7892.0
850,7892.0
851,12046.0
852,10267.0
853,17104.0
854,17104.0
855,17104.0
856,11175.0
857,17104.0
858,7875.0
859,7406.0
860,3196.0
861,6762.0
862,26142.0
863,11924.0
864,7711.0
865,26142.0
866,7153.0
867,9636.0
868,8924.0
869,8924.0
870,13478.0
871,12203.0
872,9017.0
873,10400.0
874,11475.0
875,9179.0
876,9849.0
877,11308.0
878,10206.0
879,13478.0
880,14260.0
881,8750.0
882,8688.0
883,9100.0
884,10140.0
885,7500.0
886,11143.0
887,8640.0
888,9375.0
889,10574.0
890,11639.0
891,11639.0
892,11003.0
893,13072.0
894,10434.0
895,6762.0
896,8123.0
897,21930.0
898,8012.0
899,9340.0
900,11782.0
901,10603.0
902,26142.0
903,26142.0
904,4058.0
905,9803.0
906,4274.0
907,4230.0
908,4274.0
909,2645.0
910,2645.0
911,7500.0
912,7050.0
913,22950.0
914,13869.0
915,21000.0
916,15865.0
917,9849.0
918,9849.0
919,26142.0
920,13501.0
921,10800.0
922,9760.0
923,9760.0
924,11249.0
925,9920.0
926,8400.0
927,26142.0
928,26142.0
929,26142.0
930,26142.0
931,10500.0
932,9600.0
933,10215.0
934,8250.0
935,26142.0
936,8400.0
937,11175.0
938,10434.0
939,10592.0
940,9000.0
941,9937.0
942,8400.0
943,26142.0
944,10625.0
945,8400.0
946,26142.0
947,7314.0
948,10152.0
949,9600.0
950,8400.0
951,26142.0
952,9672.0
953,7200.0
954,9503.0
955,8775.0
956,9855.0
957,11616.0
958,7642.0
959,8400.0
960,9880.0
961,7590.0
962,7585.0
963,10552.0
964,13728.0
965,10800.0
966,10434.0
967,14598.0
968,26142.0
969,26142.0
970,8775.0
971,10500.0
972,9503.0
973,9503.0
974,11423.0
975,8521.0
976,9000.0
977,8400.0
978,6000.0
979,8960.0
980,7200.0
981,3950.0
982,6000.0
983,13710.0
984,4388.0
985,11426.0
986,7399.0
987,11040.0
988,6300.0
989,8967.0
990,10440.0
991,7060.0
992,10800.0
993,7060.0
994,9340.0
995,5500.0
996,6120.0
997,6000.0
998,6060.0
999,6000.0
1000,11040.0
1001,8635.0
1002,6000.0
1003,6300.0
1004,8633.0
1005,10410.0
1006,10690.0
1007,6300.0
1008,6300.0
1009,7060.0
1010,8640.0
1011,2500.0
1012,8765.0
1013,5600.0
1014,13600.0
1015,26142.0
1016,8480.0
1017,8480.0
1018,9340.0
1019,26142.0
1020,26142.0
1021,10083.0
1022,11782.0
1023,26142.0
1024,7750.0
1025,9492.0
1026,5400.0
1027,9042.0
1028,11782.0
1029,11782.0
1030,8521.0
1031,15593.0
1032,26142.0
1033,11170.0
1034,11175.0
1035,10708.0
1036,7851.0
1037,9000.0
1038,26142.0
1039,3182.0
1040,9297.0
1041,9297.0
1042,10918.0
1043,11361.0
1044,9473.0
1045,9375.0
1046,12474.0
1047,7711.0
1048,9179.0
1049,8688.0
1050,7227.0
1051,10140.0
1052,8121.0
1053,39104.0
1054,26142.0
1055,26142.0
1056,26142.0
1057,26142.0
1058,21930.0
1059,21930.0
1060,14006.0
1061,8400.0
1062,11175.0
1063,26142.0
1064,9100.0
1065,26142.0
1066,26142.0
1067,32463.0
1068,10434.0
1069,10592.0
1070,11423.0
1071,9100.0
1072,8633.0
1073,9100.0
1074,11645.0
1075,14781.0
1076,26142.0
1077,17104.0
1078,6762.0
1079,7875.0
1080,7875.0
1081,17104.0
1082,10215.0
1083,10083.0
1084,9100.0
1085,9937.0
1086,7244.0
1087,16647.0
1088,8212.0
1089,63887.0
1090,3675.0
1091,7200.0
1092,8544.0
1093,9297.0
1094,9738.0
1095,9000.0
1096,9340.0
1097,8944.0
1098,10800.0
1099,9738.0
1100,9340.0
1101,9842.0
1102,9405.0
1103,6931.0
1104,23257.0
1105,23257.0
1106,26142.0
1107,14585.0
1108,10769.0
1109,2001.0
1110,13869.0
1111,3842.0
1112,11170.0
1113,16647.0
1114,8520.0
1115,6130.0
1116,8640.0
1117,6300.0
1118,6000.0
1119,6270.0
1120,5587.0
1121,4270.0
1122,8125.0
1123,26142.0
1124,9965.0
1125,26142.0
1126,16157.0
1127,26142.0
1128,26142.0
1129,16635.0
1130,11512.0
1131,8121.0
1132,8121.0
1133,3182.0
1134,26142.0
1135,9965.0
1136,9017.0
1137,8068.0
1138,11443.0
1139,19138.0
1140,2117.0
1141,1890.0
1142,8520.0
1143,2001.0
1144,2001.0
1145,10083.0
1146,46589.0
1147,46589.0
1148,18800.0
1149,7244.0
1150,19296.0
1151,26142.0
1152,26142.0
1153,9000.0
1154,26142.0
1155,11175.0
1156,11170.0
1157,215245.0
1158,12376.0
1159,8244.0
1160,21930.0
1161,8244.0
1162,8123.0
1163,7711.0
1164,10769.0
1165,26142.0
1166,26142.0
1167,7711.0
1168,53504.0
1169,7711.0
1170,10171.0
1171,14774.0
1172,7313.0
1173,14303.0
1174,26142.0
1175,10140.0
1176,26142.0
1177,9803.0
1178,9600.0
1179,10000.0
1180,9000.0
1181,2572.0
1182,1680.0
1183,1300.0
1184,1680.0
1185,1680.0
1186,1680.0
1187,32463.0
1188,32463.0
1189,3010.0
1190,2628.0
1191,11214.0
1192,13501.0
1193,13891.0
1194,23257.0
1195,13474.0
1196,9179.0
1197,10991.0
1198,8068.0
1199,8068.0
1200,13501.0
1201,13501.0
1202,9453.0
1203,7892.0
1204,7658.0
1205,7892.0
1206,10237.0
1207,10237.0
1208,11175.0
1209,14774.0
1210,17104.0
1211,3010.0
1212,3196.0
1213,4438.0
1214,3010.0
1215,8244.0
1216,8121.0
1217,11214.0
1218,11308.0
1219,10240.0
1220,9179.0
1221,10171.0
1222,53504.0
1223,10171.0
1224,9017.0
1225,8530.0
1226,7711.0
1227,11932.0
1228,8125.0
1229,7060.0
1230,7399.0
1231,26142.0
1232,11932.0
1233,10434.0
1234,6931.0
1235,8121.0
1236,9291.0
1237,21930.0
1238,8012.0
1239,7892.0
1240,26142.0
1241,10921.0
1242,12358.0
1243,26142.0
1244,26142.0
1245,9873.0
1246,26142.0
1247,26142.0
1248,26142.0
1249,26142.0
1250,16033.0
1251,13600.0
1252,4058.0
1253,2544.0
1254,2117.0
1255,2651.0
1256,10574.0
1257,7500.0
1258,26142.0
1259,9600.0
1260,10400.0
1261,9375.0
1262,8314.0
1263,8445.0
1264,26142.0
1265,9020.0
1266,9250.0
1267,7472.0
1268,9150.0
1269,9600.0
1270,9340.0
1271,10500.0
1272,9600.0
1273,9150.0
1274,9600.0
1275,9760.0
1276,32463.0
1277,17600.0
1278,26142.0
1279,11175.0
1280,9042.0
1281,26142.0
1282,11512.0
1283,5868.0
1284,8400.0
1285,8400.0
1286,14559.0
1287,9000.0
1288,9000.0
1289,9120.0
1290,11175.0
1291,9196.0
1292,9503.0
1293,10182.0
1294,8172.0
1295,9022.0
1296,9084.0
1297,10592.0
1298,9000.0
1299,9297.0
1300,10400.0
1301,10400.0
1302,9760.0
1303,9150.0
1304,46589.0
1305,6171.0
1306,8544.0
1307,11070.0
1308,9503.0
1309,9100.0
1310,7590.0
1311,8400.0
1312,7082.0
1313,3600.0
1314,5820.0
1315,8960.0
1316,11040.0
1317,5100.0
1318,8850.0
1319,8765.0
1320,5820.0
1321,10800.0
1322,6300.0
1323,6000.0
1324,2117.0
1325,7200.0
1326,6000.0
1327,5400.0
1328,9600.0
1329,6300.0
1330,8960.0
1331,8635.0
1332,9786.0
1333,6120.0
1334,6120.0
1335,26142.0
1336,13710.0
1337,8520.0
1338,6000.0
1339,9786.0
1340,9000.0
1341,14559.0
1342,9196.0
1343,14260.0
1344,7200.0
1345,26142.0
1346,13072.0
1347,26142.0
1348,26142.0
1349,10000.0
1350,16635.0
1351,26142.0
1352,13101.0
1353,9360.0
1354,9042.0
1355,8816.0
1356,15593.0
1357,10083.0
1358,12205.0
1359,11235.0
1360,9900.0
1361,13728.0
1362,21535.0
1363,16635.0
1364,10634.0
1365,10152.0
1366,10400.0
1367,13005.0
1368,10083.0
1369,11911.0
1370,26142.0
1371,10994.0
1372,9965.0
1373,14145.0
1374,11310.0
1375,17104.0
1376,10029.0
1377,11175.0
1378,8244.0
1379,8990.0
1380,9179.0
1381,9017.0
1382,26142.0
1383,26142.0
1384,9000.0
1385,9017.0
1386,21930.0
1387,11883.0
1388,9100.0
1389,9017.0
1390,21930.0
1391,11367.0
1392,11475.0
1393,4435.0
1394,11885.0
1395,9179.0
1396,8688.0
1397,8199.0
1398,9100.0
1399,26142.0
1400,8750.0
1401,8633.0
