,LotArea
0,6120.0
1,7388.0
2,9084.0
3,9084.0
4,5330.0
5,10900.0
6,13811.0
7,9084.0
8,10628.0
9,7700.0
10,4274.0
11,1680.0
12,1680.0
13,2280.0
14,7677.0
15,9200.0
16,12274.0
17,14803.0
18,9591.0
19,13693.0
20,14720.0
21,6955.0
22,12274.0
23,3010.0
24,10186.0
25,9084.0
26,14781.0
27,8688.0
28,11639.0
29,6000.0
30,9473.0
31,6120.0
32,14375.0
33,10800.0
34,10678.0
35,4274.0
36,4224.0
37,3182.0
38,2572.0
39,2160.0
40,5105.0
41,4230.0
42,6000.0
43,11003.0
44,6000.0
45,10552.0
46,9430.0
47,9650.0
48,9480.0
49,9020.0
50,9020.0
51,11777.0
52,9084.0
53,17500.0
54,19900.0
55,10356.0
56,13700.0
57,8393.0
58,9060.0
59,13811.0
60,13811.0
61,10628.0
62,9571.0
63,7150.0
64,8248.0
65,8877.0
66,9060.0
67,11664.0
68,6897.0
69,9819.0
70,6120.0
71,3378.0
72,8520.0
73,6000.0
74,8635.0
75,7200.0
76,6000.0
77,3378.0
78,9600.0
79,7082.0
80,7200.0
81,6000.0
82,11414.0
83,6000.0
84,8635.0
85,5500.0
86,6120.0
87,6000.0
88,5925.0
89,5500.0
90,6240.0
91,9600.0
92,3378.0
93,3600.0
94,8816.0
95,15593.0
96,9000.0
97,10970.0
98,7200.0
99,5600.0
100,7711.0
101,7200.0
102,7200.0
103,13175.0
104,11075.0
105,12205.0
106,11600.0
107,10029.0
108,6970.0
109,7200.0
110,7558.0
111,7599.0
112,16770.0
113,12274.0
114,8197.0
115,13811.0
116,8172.0
117,7252.0
118,8314.0
119,9084.0
120,12209.0
121,9100.0
122,10655.0
123,9750.0
124,4435.0
125,8777.0
126,8414.0
127,9180.0
128,11600.0
129,8400.0
130,10150.0
131,11888.0
132,8854.0
133,7200.0
134,4280.0
135,14115.0
136,10400.0
137,9505.0
138,1300.0
139,1300.0
140,5890.0
141,6060.0
142,13710.0
143,4750.0
144,11367.0
145,10628.0
146,10171.0
147,11160.0
148,9735.0
149,9735.0
150,9600.0
151,9196.0
152,8749.0
153,4500.0
154,1533.0
155,1491.0
156,1477.0
157,7677.0
158,8314.0
159,9842.0
160,9000.0
161,14115.0
162,13175.0
163,9735.0
164,8280.0
165,9591.0
166,15426.0
167,10380.0
168,9600.0
169,5664.0
170,15256.0
171,5664.0
172,9084.0
173,7917.0
174,10186.0
