,LotArea
0,7844.888313805302
1,10280.769589849446
2,10048.276804234445
3,9787.306055866393
4,5688.414740794651
5,10153.731896514946
6,12129.199985194822
7,9562.89658613204
8,9757.460557362285
9,9559.884958940725
10,3891.760054465811
11,2590.1869437890064
12,2606.7533621557145
13,6154.464680674548
14,7204.081793111048
15,12340.917557694858
16,10914.240497255285
17,10920.15313090557
18,10874.677436058977
19,17824.08601534197
20,13205.970252702446
21,5687.434656716265
22,11263.946245037276
23,4007.8431484945204
24,9399.040241059043
25,9498.57370294003
26,23808.678049528935
27,9765.189259943549
28,8727.796832977892
29,9277.743406547022
30,9068.806152963294
31,8218.760656945187
32,16583.837670856778
33,11330.808248784124
34,10440.53227959122
35,10941.377813681442
36,3657.666346627629
37,2808.9365794267164
38,2352.9484450701734
39,2352.9484450701734
40,9253.916330928156
41,6181.147549141384
42,8791.51892346311
43,8771.510566982557
44,8519.493809141719
45,11455.932973121731
46,10327.881192014385
47,10610.00112783922
48,9879.652985780336
49,9708.966120711895
50,10174.264202501223
51,10828.264373131926
52,10435.394669248299
53,12600.638860675353
54,11923.551796012152
55,12422.686309165298
56,9923.764622260138
57,9597.310319786377
58,9384.189516926483
59,10078.148017526131
60,10741.866296716396
61,11461.77256903748
62,8656.858167256603
63,8481.894720526652
64,19453.832513231213
65,8908.037167881239
66,9117.34647037252
67,8856.59936668074
68,10892.350518947987
69,12990.405166501992
70,12734.34185356825
71,7094.025921185315
72,8370.505589646416
73,6203.43687282623
74,8254.736513641968
75,8180.676943493421
76,8375.23917833828
77,8709.353715951087
78,8772.977408849823
79,10643.24219745822
80,8227.204416804361
81,7235.2302796765925
82,10380.550475187827
83,5610.012946757992
84,6278.43218610119
85,7092.876133802047
86,6898.822430627791
87,8263.467313428833
88,7011.050352282049
89,7272.18847030297
90,6827.760466090931
91,8017.632731878334
92,7754.688452305643
93,6424.23842838582
94,15143.656485035594
95,11312.372109771739
96,8446.467669865624
97,8956.96178948749
98,8557.386943797728
99,7851.368227817165
100,11423.802059374817
101,8415.942528011588
102,8732.063623708047
103,10618.730569022857
104,10813.195829757009
105,19010.370157572033
106,10417.533850784508
107,23541.605971133158
108,12024.058650586805
109,9702.638388708627
110,8785.353244619624
111,9916.364021092433
112,9758.089918654328
113,18035.6800560923
114,14502.969657854535
115,17725.51258043428
116,8889.133927885023
117,11243.970561213073
118,9303.46183286879
119,9968.96650523868
120,8091.057327306945
121,9214.691170046786
122,10469.295270435116
123,9554.256568022754
124,5346.206268993586
125,9398.840745972362
126,9189.78423850131
127,18570.666390635888
128,10144.069153294893
129,12060.18511774481
130,8834.099248872715
131,9023.375285286036
132,8630.122342200513
133,9360.602671145609
134,7790.532312799457
135,11813.742835817253
136,9619.75931186203
137,10504.570593868842
138,10032.69216469074
139,10517.398571806496
140,7193.645992625669
141,6852.8756301962485
142,8983.441937437472
143,5387.477039378709
144,9902.483905663754
145,9555.189313155402
146,11248.027361625072
147,10619.926647296787
148,9271.925778975155
149,9507.366687325339
150,10149.163993612285
151,9947.264932619575
152,9726.099036898215
153,4026.7451560000572
154,2492.4727162699714
155,2828.412825853703
156,2925.261055378057
157,7530.618366570253
158,8861.506721966163
159,10001.36072685607
160,8856.479815350742
161,10056.038336246815
