,LotArea
0,-1554.324277494923
1,19794.335275344427
2,4948.910367158366
3,2737.5169262548134
4,4452.089815850563
5,9207.459561929918
6,13148.642436824373
7,7109.664219448472
8,5306.188533312936
9,11463.443476892022
10,2051.1451749874523
11,1770.320183030288
12,7239.0440251960745
13,12539.77743715854
14,15354.357147693734
15,4229.947224965366
16,6046.641463715678
17,640.580635905183
18,4217.300685713343
19,7485.371410179054
20,9675.972207564668
21,5603.584229956473
22,13087.833162549932
23,4113.408124106947
24,5016.972658393911
25,5027.100146314881
26,9165.907388962667
27,9870.013775446241
28,1113.1955342520741
29,157.11057604752386
30,5057.020458746967
31,4222.052201698935
32,18400.31422521203
33,6093.11047780468
34,9584.293862674725
35,2071.971012991474
36,1857.5921633056184
37,2581.9958491634643
38,-7507.284748275581
39,1177.9652208284285
40,2034.0713725045623
41,7841.818552882676
42,6353.333057694152
43,3598.061227832901
44,4198.8505098703645
45,4715.63832422713
46,7483.056793837189
47,6979.115264874254
48,13792.549194841562
49,9832.83084381387
50,12217.814175753654
51,3839.861531998238
52,8577.80598674929
53,19269.938491636127
54,-1723.0434351227068
55,17765.886432295345
56,4614.20826171648
57,14964.677825286522
58,6298.351757999897
59,11899.81204039178
60,10700.32905266677
61,12562.15791769003
62,16318.887652566502
63,7661.22261272453
64,18636.62866844414
65,15318.98833654267
66,9611.167987914603
67,422.37919851061906
68,9117.858580077025
69,9815.853966250314
70,-2011.6764326061848
71,8336.391762873478
72,12912.16059832157
73,10472.62713775407
74,15748.987348476807
75,10966.19358737473
76,10994.199181782322
77,14390.648702102662
78,12774.872671185987
79,6579.724458285002
80,10412.350203412068
81,6808.726150650501
82,8659.509844406984
83,13446.301246224271
84,-2135.555804949043
85,6003.158397055298
86,-119.15857535154555
87,11647.379818304738
88,3924.3288347781718
89,-1161.547926672316
90,13737.37604407196
91,3581.979524546327
92,1390.4905699278058
93,-476.44263662846515
94,22942.230300494943
95,20568.71761465708
96,7889.4752668978945
97,10925.73335775254
98,-1021.405729048578
99,5046.011914315102
100,3581.726071227149
101,10375.117279776661
102,4346.342088276495
103,13614.277250654231
104,8731.75849747118
105,21713.661348489397
106,7903.322294746567
107,29210.544653878547
108,15045.671922869615
109,14251.117456116031
110,10893.25514424305
111,11652.298105667354
112,-19432.827281456342
113,9575.24521969624
114,20328.435923401037
115,3339.4406477308776
116,5919.643296199534
117,11562.591476227719
118,9907.988384503626
119,7671.3101548561
120,11097.739300083344
