,LotArea
0,9119.627024285068
1,19608.934996830107
2,10392.876063478492
3,9984.816389632313
4,8812.80093547679
5,8295.817305567569
6,11114.564753819284
7,7884.057764776769
8,10272.0149183333
9,9301.620619999396
10,10817.732035102787
11,5826.738769965434
12,6441.5351938542535
13,8886.433253947891
14,6631.239990128604
15,11018.143265133043
16,9870.258991437704
17,10282.921390421337
18,10757.107365097156
19,16098.698412787691
20,12406.79748537918
21,8631.029077011995
22,9443.084137755231
23,7738.77573873921
24,8461.095035909708
25,8411.852587088817
26,11703.675473309177
27,9667.69184547037
28,8436.530667224268
29,12184.18739530316
30,8320.037249349187
31,7941.707790524961
32,13323.858286996972
33,13949.298236194403
34,12975.816142089458
35,11639.02736503249
36,7566.423052080674
37,6881.379745706152
38,7247.391198974773
39,6986.133209917532
40,6998.48963694799
41,6797.826270070845
42,11483.183363604818
43,9918.247986304541
44,11478.0899295767
45,12085.975635888271
46,13122.292183216476
47,11591.097042362222
48,9439.760271191935
49,9996.287578507985
50,11164.050543131776
51,11575.310638917728
52,8951.67914091825
53,14216.53951279854
54,12415.977438528449
55,9565.41013338545
56,11002.631465260305
57,10368.1575079292
58,11743.964181296236
59,10461.079716308415
60,10512.49130095579
61,10963.204954111347
62,7782.758779640742
63,8489.966572753774
64,9881.355310342748
65,8812.554780757391
66,7429.878054778955
67,9583.242984920036
68,10957.275740509345
69,12110.198750281372
70,8059.81168696721
71,8612.398315752594
72,13289.136446754543
73,7525.855648981531
74,10668.640435066072
75,9402.185762682453
76,7193.65109562285
77,9009.436842401026
78,9331.172521737912
79,9880.465011849945
80,8519.261413707807
81,10018.638480034035
82,10539.80983362452
83,7124.623365117328
84,7891.427368417055
85,8035.314793152658
86,9112.170002708111
87,8574.989859704987
88,7420.350268773937
89,9382.923486958842
90,9900.128807782405
91,10099.16520110983
92,8381.559947532618
93,7336.7519304637835
94,11958.564198838747
95,8102.5512782924725
96,11165.65879323679
97,7543.997163861862
98,9456.331449875714
99,9687.238547605142
100,12419.692559296016
101,9571.146156934637
102,8820.431506373445
103,11823.949022249026
104,10457.270266937832
105,12167.49243999095
106,7004.501217468203
107,11877.324574913659
108,13044.310111100875
109,9808.072718668458
110,9793.005192773582
111,10715.299358262699
112,11877.090214867334
113,9158.003306146424
114,11806.18087064745
115,11088.495318706871
116,8241.888344605215
117,8242.923406077241
118,9466.81288755778
119,9161.23169504911
120,11179.037215032411
121,8472.41184254151
122,14643.121950158711
123,9889.089293966465
124,7788.733225393599
125,6032.825000342646
126,7699.353752624899
127,11437.574389597386
128,7581.116523043409
129,9211.21560935918
130,7565.423230479235
131,8517.232896268326
132,7618.951703885187
133,10026.994900649654
134,8308.443575450456
135,11823.04492222536
136,10633.766824092017
137,9353.745473975412
138,8760.474898367618
139,8218.08852843863
140,6575.752946114483
141,7786.330079035786
142,8349.862650270848
143,12211.542870262243
144,10477.252366301242
145,10731.840436123632
146,12373.94158338706
147,9524.993348771945
148,8317.092127339165
149,7747.709082611583
150,8987.060276599985
151,9522.855922649622
152,9629.703684382486
153,9114.24831309844
154,6823.624183861639
155,6403.111266844413
156,7244.390157635758
157,8306.1804312033
158,10059.649809964016
159,10917.4335340803
160,8363.03596643124
161,10666.409196021947
162,14933.351212508436
163,11371.062542006674
164,8758.186681978015
165,11216.450041721653
166,10587.543720531667
167,11527.87306125783
168,9196.633035303175
169,16488.51878527798
170,10060.18104866105
171,11647.832334076596
172,8094.29750567735
173,9520.2768736844
174,9096.514662114707
175,8601.478028898207
176,9940.047776636333
177,9769.229116264265
178,11206.694893957409
179,12515.31221328828
180,11785.319142799903
181,10121.339158424338
182,8967.88853136129
183,10477.204038069503
184,13408.70371621833
185,10028.115606116527
186,10212.560631215692
187,8250.462501585685
188,8966.300764227362
189,9169.550052567425
190,8245.067172456213
191,5946.804676239093
192,6763.838547523574
193,8511.949166494393
194,10508.56814659239
195,8503.548442092706
196,8500.442403751069
197,8371.193069664701
198,7977.893821027174
199,10435.047489202647
200,14560.326140530722
201,13015.06217925567
202,13932.96071803689
203,18106.86767474382
204,10776.735531202536
205,14136.592676672857
206,14658.482277529163
207,12635.72640100356
208,11648.512532357683
209,13214.8044993167
210,13065.794099474306
211,16670.76732066251
212,10312.554678038858
213,10035.487929201068
214,10353.665609526923
215,9870.932560312902
216,10666.455256928075
217,16900.476192405848
218,15374.686618428068
219,12036.77596054575
220,8652.996519414919
221,13350.770666194281
222,8835.02186465996
223,7983.071246483341
224,7927.0173703704695
225,8200.715192846028
226,7746.111652975844
227,8254.879168845087
228,8580.004190702086
229,9340.80042357314
230,8639.877207403168
231,10536.36979433461
232,8449.360045551039
233,9369.112814533355
234,7599.471578276866
235,12416.587491498953
236,7701.137685732836
237,14065.762520175527
238,16985.880772407712
239,11647.436632480409
240,11107.222174975119
241,10598.932888564643
242,10258.985376209965
243,12819.539610533753
244,10342.152717068837
245,17287.682904241912
246,9472.23670102242
247,9545.203030047458
248,10265.70173643534
249,8993.002604848534
250,10227.974787531226
251,10592.609268568247
252,13344.23756960839
253,12863.08488308041
254,8998.251792284578
255,8774.924795112756
256,8644.231901136862
257,8342.538727657362
258,8733.720740758754
259,13366.55056571494
260,8747.470775980968
261,8434.71825714466
262,10196.317811846877
263,8975.006899566199
264,10472.479728554474
265,9901.743038450304
266,8626.060626343982
267,10345.269479103163
268,8351.631143392595
269,8802.355915339993
270,11248.28816153699
271,8958.023719845414
272,9176.291115077629
273,9293.94162598133
274,8965.54694531888
275,9894.779099799218
276,15907.870447352838
277,11095.84985971136
278,10826.130559811694
279,9545.033016927473
280,9607.488613084548
281,7796.111348561762
282,8388.607775178538
283,13561.563128712474
284,11673.015906884193
285,10398.352727218995
286,11426.108706184963
287,10791.980121744715
288,11518.902287077568
289,10517.004358017584
290,11526.32369536719
291,8438.547333518554
292,10146.114482910009
293,11133.330818482551
294,10767.4609638869
295,9186.391632157256
296,8360.999227902255
297,10824.20781002837
298,12388.953941665573
299,11442.708829156612
300,11177.01056209103
301,10643.689705637657
302,11455.481112371766
303,8571.301480254973
304,13185.63121243957
305,12405.85953901174
306,12671.716987822861
307,10261.58182464756
308,10830.967140007606
309,9492.936979378987
310,10670.210545861224
311,11596.8801382305
312,12131.83009151862
313,10843.86127595901
314,8941.12096187951
315,8884.433090758293
316,8437.74302083025
317,9472.188128775568
318,8320.743615614605
319,10122.050891776618
320,9628.210017200392
321,6870.9819113328995
322,8615.527671118949
323,7347.356966017045
