,LotArea
0,6472.9
1,14778.2
2,13611.9
3,13313.2
4,7740.7
5,12591.2
6,15431.4
7,13008.2
8,12609.6
9,9290.5
10,2500.3
11,2064.8
12,2065.5
13,10044.1
14,11477.7
15,14441.4
16,13459.4
17,12395.9
18,12925.0
19,15918.2
20,13514.8
21,8208.9
22,15749.9
23,3498.7
24,14508.5
25,10612.7
26,18916.8
27,10552.6
28,8224.1
29,8741.8
30,9644.1
31,5397.7
32,16622.8
33,12487.4
34,11111.6
35,3666.8
36,3619.4
37,3266.7
38,2651.3
39,2579.9
40,5330.0
41,5658.8
42,8914.8
43,9624.4
44,8947.7
45,11870.4
46,12180.4
47,13203.3
48,9820.1
49,9521.4
50,10836.7
51,10966.2
52,14780.9
53,14358.8
54,11333.7
55,14743.9
56,14070.8
57,9889.9
58,9733.0
59,12874.0
60,13581.3
61,10518.5
62,9053.0
63,9954.5
64,18030.8
65,8740.0
66,11117.9
67,9035.2
68,14127.5
69,11840.0
70,8253.1
71,5842.4
72,7487.7
73,6752.0
74,8550.3
75,8400.2
76,8876.1
77,7236.8
78,9138.2
79,10127.5
80,8167.4
81,7663.2
82,12837.3
83,6185.4
84,7041.9
85,6034.1
86,7099.0
87,7113.3
88,7667.3
89,5917.5
90,6974.2
91,9701.1
92,7218.2
93,4807.8
94,11506.7
95,17628.0
96,8604.8
97,10320.7
98,8678.3
99,6825.2
100,11164.6
101,9219.6
102,8913.6
103,13156.3
104,13393.6
105,30772.9
106,16270.2
107,27165.6
108,15261.3
109,9816.4
110,7197.8
111,11132.9
112,12656.0
113,17817.2
114,16208.3
115,13176.1
116,8818.4
117,14263.4
118,10816.0
119,13032.3
120,13756.8
121,9923.4
122,10016.0
123,9239.3
124,4077.6
125,9987.5
126,10082.0
127,15693.8
128,15281.9
129,16161.0
130,8251.8
131,9665.7
132,9282.7
133,9119.7
134,7078.8
135,13362.5
136,12031.9
137,16658.2
138,3978.7
139,4174.8
140,7088.0
141,7794.9
142,7984.3
143,4062.4
144,11080.0
145,10605.5
146,12618.5
147,13845.0
148,9548.5
149,10371.8
150,11043.7
151,11692.2
152,9463.4
153,4990.6
154,2023.8
155,2015.7
156,2008.1
157,8690.3
158,11168.1
159,10414.2
160,9715.1
161,15664.6
162,15202.7
163,10930.7
164,10107.6
165,12300.7
166,14877.3
167,13347.7
168,9985.5
169,13026.6
170,11749.2
171,10746.7
172,14105.5
173,8440.0
174,15565.7
175,9858.0
176,11164.4
177,13109.1
178,9531.3
179,13741.5
180,10289.5
181,7472.9
182,9254.3
183,8713.9
184,20415.0
185,10153.7
186,20866.5
187,13816.7
188,14925.5
189,9491.3
190,9226.3
191,2032.5
192,2044.5
193,2489.5
194,11012.8
195,3585.7
196,2492.5
197,2475.6
198,4336.1
199,11425.4
200,15375.8
201,11148.2
202,12908.3
203,19050.1
204,11091.2
205,15866.2
206,15895.7
207,14860.4
208,11867.8
209,12424.0
210,14868.9
211,12320.3
212,13371.1
213,12409.1
214,7902.2
215,10243.9
216,10346.0
217,15537.7
218,13924.9
219,8721.9
220,6336.3
221,15028.7
222,5797.4
223,10713.8
224,13898.7
225,3135.9
226,14712.5
227,13000.1
228,14689.3
229,12967.8
230,13603.5
231,11845.8
232,14325.2
233,11716.4
234,8911.4
235,18194.8
236,12696.2
237,14449.9
238,19896.4
239,11007.6
240,12439.4
241,13672.4
242,9712.0
243,12614.4
244,11606.7
245,14771.2
246,10156.0
247,8601.0
248,12135.6
249,9115.0
250,8809.0
251,10564.2
252,9279.8
253,8703.5
254,8460.6
255,9718.1
256,9605.7
257,8454.4
258,14609.4
259,11948.8
260,12220.4
261,9738.3
262,10616.7
263,9268.6
264,12236.3
265,10173.1
266,6096.1
267,10525.4
268,15857.4
269,10700.8
270,13872.5
271,12400.1
272,12341.3
273,14888.2
274,11560.9
275,8829.7
276,20434.9
277,8436.1
278,6220.9
279,9528.6
280,5733.7
281,3741.0
282,3835.8
283,14723.7
284,13459.3
285,13234.2
286,17280.3
287,10347.7
288,10257.5
289,10633.6
290,13255.4
291,8568.0
292,10397.1
293,10380.1
294,10596.2
295,7946.2
296,10379.0
297,12547.2
298,14499.1
299,11839.5
300,13255.8
301,14086.6
302,13529.4
303,10797.2
304,10346.7
305,14832.4
306,13475.7
307,12238.2
308,13411.0
309,13709.4
310,9708.5
311,14592.6
312,9711.0
313,9900.3
314,15821.3
315,8979.0
316,9940.7
317,8518.6
318,10270.0
319,12224.0
320,9449.8
321,8214.9
322,10077.9
323,11765.2
324,11616.6
325,13026.5
326,9316.2
327,13970.0
328,9924.9
329,8148.0
330,12055.1
331,12059.9
332,13605.3
333,8240.6
334,13728.1
335,14540.7
336,8355.6
337,8598.9
338,8883.4
339,9735.3
340,8891.8
341,8167.4
342,12188.6
343,13540.4
344,9342.9
345,7385.3
346,7535.4
347,8182.1
348,7637.0
349,7988.6
350,8658.8
351,7162.6
352,7105.5
353,8697.7
354,6404.5
355,6275.6
356,9311.0
357,8739.4
358,7184.2
359,5876.0
360,7560.4
361,8757.4
362,8271.6
363,9899.6
364,7804.2
365,6403.1
366,6947.2
367,6955.0
368,8190.8
369,9556.0
370,9934.0
371,7908.9
372,10575.2
373,7077.9
374,5760.6
375,8700.5
376,7693.3
377,6025.7
378,9455.8
379,8825.5
380,13652.6
381,9013.1
382,9917.1
383,15776.1
384,11780.2
385,12937.2
386,16564.6
387,10917.4
388,13510.8
389,9092.3
390,8062.1
391,13879.8
392,4344.6
393,14114.4
394,14245.3
395,11964.3
396,16509.8
397,10660.3
398,9182.1
399,9061.3
400,8872.8
401,16268.6
402,16580.8
403,16580.8
404,11608.7
405,14183.2
406,10071.2
407,15222.3
