,LotArea
0,-829.3544534715475
1,19236.876709623844
2,5038.95404973688
3,3084.632590871508
4,5923.021208312224
5,9638.782241908293
6,12601.036792857041
7,6982.135892160317
8,5585.920584847729
9,10418.4251900738
10,1391.8387668396317
11,2807.3208178613204
12,7010.735753487599
13,13283.94460605214
14,15775.042851356511
15,4391.152538321483
16,6420.3996756242705
17,929.1943899142934
18,2611.130146617448
19,10383.478833519091
20,11183.08932747098
21,3993.7923113104334
22,12534.878602692714
23,3721.9840692330545
24,3663.095730726207
25,4722.420365922291
26,11631.651942530794
27,9461.718002863943
28,1676.6609574661306
29,47.89135687083035
30,5291.098519637992
31,5267.352525413764
32,16746.43561517122
33,1861.1088741501299
34,9634.473570680088
35,2525.9296543189994
36,2238.541406152217
37,-1674.3685799583327
38,-5371.809330994285
39,630.3086040436829
40,3091.5502995946954
41,6408.744168995385
42,4199.803412044665
43,3036.5196903912656
44,4792.116766234198
45,7684.355497714467
46,8590.2068730318
47,9347.948283642354
48,14514.296291095552
49,8639.906552481318
50,8895.286492965091
51,6882.514916918291
52,6148.81773192123
53,17926.07003040614
54,3559.9898428470988
55,18017.523082870808
56,8971.16970363437
57,15681.036052347166
58,7294.3527375288395
59,11544.286924063936
60,10505.85302584935
61,9998.780073087173
62,16631.294245412344
63,7633.6099921424175
64,17085.36249905145
65,15226.430135230608
66,10903.164217353273
67,8289.51989831825
68,8699.906174372094
69,9604.227947893874
70,1563.8355888653605
71,6599.081628579872
72,14887.122419343255
73,13357.392341103921
74,14186.649217421798
75,10724.931931243076
76,12158.767210470733
77,14706.888905101301
78,9025.93581174758
79,8410.10850444998
80,12388.177151725364
81,7584.29642177176
82,11036.959690246724
83,6404.508276486653
84,-1593.6432161693228
85,3071.363145030191
86,996.7788471509921
87,9903.635045199271
88,1961.8515359699813
89,-1323.2321260116805
90,11242.934703605466
91,6634.57863269512
92,266.19541717456013
93,-1928.0796879895715
94,24191.844038028463
95,17270.780240307093
96,7618.341995359537
97,7950.971163152004
98,7174.333872993051
99,2889.7509517014187
100,8965.539139512965
101,12478.191347386572
102,8708.033488773215
103,13775.656691928716
104,10331.34423277405
105,26340.6880618314
106,12257.084844357112
107,32350.153385238184
108,18076.829531422663
109,12503.765526777126
110,16879.792222428194
111,9265.925727643325
112,3902.17337749547
113,10727.275767892554
114,19811.636631798967
115,5382.472280230249
116,3035.8215765739224
117,10893.193760892149
118,9116.329780287464
119,6307.000657515484
120,9775.9493654364
121,7116.776704260781
122,7589.660183990614
123,7206.754991527043
124,3325.713823002312
125,18452.269857450327
126,9826.833905196403
127,26104.51996166218
128,4756.768009099927
129,19472.83689729778
130,3901.1816402583136
131,8026.529561437317
132,7717.8210920692945
133,-16852.02652431569
134,4997.064562718762
135,12803.696709463764
136,9170.875696864265
137,10291.095069009758
138,1794.963677042164
139,3313.044017749533
140,7799.005266487075
141,6613.2117290539245
142,2304.1499360473827
143,-1375.5697081904145
144,9561.201248920619
145,9210.80371600131
146,17585.834874717853
147,13286.185635920614
148,13429.849072512456
149,13962.91299305085
150,18562.09564084097
151,10361.247355553833
152,8427.611982292825
153,13592.18574786434
154,-936.6182764714176
155,383.9812000423699
156,3332.032739359318
157,12929.875136396571
158,9722.218967306535
159,-1736.2681194140096
160,6601.268110893208
161,16946.965801291055
162,11529.678016379166
163,12829.166387267185
164,15373.273436283038
165,6101.03670002873
166,11482.55945559585
167,9801.096003840923
168,5596.116317186716
169,6137.623745789373
170,7294.016841084689
171,6427.292812022824
172,62.051356514049985
173,7426.1480330504855
174,9963.310812400783
175,7887.1966209919265
176,4647.441551967291
177,10022.70521066537
178,4027.629852173348
179,17109.34543165561
180,3869.2747782379665
181,6794.098683002652
182,2646.228722725791
183,1840.1159613985874
184,20721.05052874465
185,6833.485140005469
186,20626.410481564188
187,9381.742768167294
188,15869.409970036375
189,5983.831949653206
190,17051.37699888905
191,1716.1458451711442
192,3248.6146025290946
193,8813.471699498159
194,16995.617771053665
195,3428.441423856384
196,983.5691218251595
197,-489.57946172565426
198,1612.0544451565947
199,-722.4936782395016
200,9207.47209490173
201,1334.8766232612797
202,4204.653307995832
203,14389.028999501319
204,5637.020874696922
205,13243.66869105182
206,27141.1875077348
207,1843.2558577742384
208,2172.0685601929217
209,4519.465059344671
210,10703.830270367564
211,7168.381440873134
212,8739.73127208743
213,9015.087445972948
214,5722.15958612848
215,1610.0089584003363
216,7139.491986382665
217,5481.003750060776
218,7469.094623595796
219,-2656.5276256880898
220,1817.5539668572746
221,7610.872608108126
222,5838.020559473996
223,8893.328406773433
224,8177.284950380823
225,1216.4539911744287
226,9081.837105155491
